fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2013*2013-07-01*2013-12-31*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.99**110778.58*281*0.0*11452935*false*103.3858*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 3 2013*2013-07-01*2013-09-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.94**54087.39*125*0.0*5470473*false*101.1414*0.31*0.0*0.31*0.03*1.84*1.57*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 3 2013*2013-07-01*2013-09-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.94**259.43*8*0.1414*26202*false*101.0*0.31*0.0*0.31*0.01*1.84*1.61*0.39*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 1 2013*2013-01-01*2013-06-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*0.48**10576.45*51*0.0*1050413*false*99.3163*0.16*0.0*0.16*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 1 2013*2013-01-01*2013-06-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*0.48**260.45*7*0.0*25867*true*99.3163*0.0*0.0*0.0*0.07*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 3 2014*2014-07-01*2014-09-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*2.07**266766.11*756*0.0*28198405*false*105.7046*0.31*0.0*0.31*0.03*-0.08*1.82*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 3 2014*2014-07-01*2014-09-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*2.07**12552.95*34*0.0*1266852*false*100.9206*0.31*0.0*0.31*0.03*-0.08*1.82*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 1 2014*2014-01-01*2014-06-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.91**231309.61*639*0.0*24469486*false*105.7867*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 1 2014*2014-01-01*2014-06-30*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.91**11820.0*31*2.37*1193820*false*101.0*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 1 2014*2014-01-01*2014-03-31*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.88**130979.19*415*0.0*13715793*false*104.7173*0.31*0.0*0.31*0.02*1.29*1.71*0.33*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 1 2014*2014-01-01*2014-03-31*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.88**5721.41*25*1.32*577863*false*101.0*0.31*0.0*0.31*0.03*0.0*1.71*0.33*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
