fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2009*2009-07-01*2009-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.33*0.25**737658.19*136*0.0*4523035*false*6.1316***0.5*0.05*2.23*5.88*0.29*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL FI*61914859*Trimester 3 2009*2009-07-01*2009-09-30*1856*departamento.marketing@credit-suisse.com*A*ALTO*0.16*0.23**672064.94*132*0.0*4031049*false*5.998***0.25*0.03*7.17*6.88*0.28*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL FI*61914859*Semester 1 2009*2009-01-01*2009-06-30*1856*departamento.marketing@credit-suisse.com*A*ALTO*0.21*0.89**769244.21*132*0.0*4305128*false*5.5966***0.5*0.05*5.23*5.55*0.31*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2010*2010-07-01*2010-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.46*0.44**758254.61*109*0.0*4907890*false*6.4726***0.49*0.05*5.3*6.23*0.29*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2010*2010-07-01*2010-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.29*0.35**775203.98*119*0.0*4765082*false*6.1469***0.25*0.03****CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2010*2010-01-01*2010-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.54*0.27**793205.7*127*0.0*4583528*false*5.7785***0.49*0.05*-6.58*12.99*0.28*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2010*2010-01-01*2010-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.2*0.23**800994.78*134*0.0*4954334*false*6.1852***0.24*0.02*0.87*6.34*0.28*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2011*2011-07-01*2011-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.12*1.01**805675.48*101*0.0*4801327*false*5.9594***0.25*0.03*-8.17*12.3*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2011*2011-01-01*2011-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.36*0.74**809415.71*106*0.0*5252925*false*6.4898***0.49*0.05*-1.0*5.91*0.28*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2011*2011-01-01*2011-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.28*0.51**741350.59*107*0.0*4859871*false*6.5554***0.24*0.02*1.28*7.22*0.28*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2010*2010-07-01*2010-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.46*0.44**758254.61*109*0.0*4907890*false*6.4726***0.49*0.05*5.3*6.23*0.29*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
