fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 2 2016*2016-07-01*2016-12-31*4994*atencionalcliente@bancoalcala.com*NA*7 en una escala de 1 a 7*0.63*0.0**418177.19*46*0.0*4188246*false*10.0155*0.38*0.07*0.45*0.04*1.28*2.07*0.24*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 3 2016*2016-07-01*2016-09-30*4994*atencionalcliente@bancoalcala.com*NA*7 en una escala de 1 a 7*0.37*0.0**402448.49*34*0.0*3979685*false*9.8887*0.19*-0.04*0.15*0.02*-0.44*2.21*0.24*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 1 2016*2016-01-01*2016-06-30*4994*gesalcala@bancoalcala.com*NA*7 en una escala de 1 a 7*0.0*0.0**392284.67*31*0.0*3896300*false*9.9323*0.17*0.11*0.28*0.02***0.48*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 2 2017*2017-07-01*2017-12-31*4994*gesalcala@bancoalcala.com*NA*7 en una escala de 1 a 7*0.29*0.0**451359.26*111*0.0*4471198*false*9.9061*0.38*-0.04*0.34*0.04*-1.09*3.63*0.37*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 3 2017*2017-07-01*2017-09-30*4994*gesalcala@bancoalcala.com*NA*7 en una escala de 1 a 7*0.06*0.0**457785.51*108*0.0*4584836*false*10.0152*0.19*-0.04*0.15*0.02*-0.51*2.37*0.37*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 1 2017*2017-01-01*2017-06-30*4994*gesalcala@bancoalcala.com*NA*7 en una escala de 1 a 7*0.58*-0.1**435040.22*104*0.0*4379581*false*10.0671*0.38*0.04*0.42*0.03*-0.99*2.52*0.33*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 1 2017*2017-01-01*2017-03-31*4994*atencionalcliente@bancoalcala.com*NA*7 en una escala de 1 a 7*0.34*-0.19**427157.79*63*0.0*4343354*false*10.168*0.19*0.12*0.31*0.02*1.52*1.74*0.25*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 2 2018*2018-07-01*2018-12-31*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.18*0.0**444484.0*110*0.0*3907536*false*8.7912*0.38*0.0*0.38*0.04*-8.23*6.82*0.34*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 3 2018*2018-07-01*2018-09-30*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.14*0.0**507386.29*113*0.0*4860586*false*9.5797*0.19*0.0*0.19*0.02*-3.78*4.01*0.36*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 1 2018*2018-01-01*2018-06-30*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.58*0.0**512372.01*113*0.0*5101101*false*9.9559*0.37*0.0*0.37*0.03*2.03*4.22*0.35*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 1 2018*2018-01-01*2018-03-31*4994*gesalcala@bancoalcala.com*NA*7 en una escala de 1 a 7*0.31*0.0**463093.69*112*0.0*4518610*false*9.7574*0.18*0.0*0.18*0.02*-1.5*4.6*0.35*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 2 2019*2019-07-01*2019-12-31*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.56*-1.0**423490.15*99*0.0*3996453*false*9.4369*0.38*0.0*0.38*0.04*3.15*3.89*0.34*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 3 2019*2019-07-01*2019-09-30*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.3*-1.18**417558.63*105*0.0*3820042*false*9.1485*0.19*0.0*0.19*0.02*0.03*5.06*0.34*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 1 2019*2019-01-01*2019-06-30*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.39*0.0**421077.83*106*0.0*3850898*false*9.1453*0.37*0.0*0.37*0.03*-1.89*4.72*0.34*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 1 2019*2019-01-01*2019-03-31*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.27*0.0**410443.4*107*0.0*3825856*false*9.3213*0.19*0.0*0.19*0.02*6.03*4.72*0.33*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Semester 2 2020*2020-07-01*2020-12-31*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.08*-0.05**425902.79*102*0.0*3786592*false*8.8907*0.38*0.0*0.38*0.04*6.56*7.76*0.36*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
RSR GLOBAL, FI*RSR GLOBAL, FI*87545463*Trimester 3 2020*2020-07-01*2020-09-30*4994*gesalcala@bancoalcala.com*NA*5 en una escala de 1 a 7*0.12*-0.08**428972.59*102*0.0*3579161*false*8.3436*0.19*0.0*0.19*0.02*-0.26*5.83*0.37*GESALCALA, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174193005
