fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Trimester 3 2009*2009-07-01*2009-09-30*110*fondos@gesconsult.es*Aa2*Medio-Bajo*0.43*0.22**2499506.3*1789*0.0*58808000*false*23.5277***0.38*0.03*3.06*2.68*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Semester 1 2009*2009-01-01*2009-06-30*110*fondos@gesconsult.es*Aa1*Medio-Bajo*2.61*1.26**2385266.33*1789*0.0*54452000*false*22.8283***0.74*0.06*1.66*1.65*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Semester 2 2010*2010-07-01*2010-12-31*110*fondos@gesconsult.es*Aa2*Medio-Bajo*1.04*0.47**1327081.48*1306*0.0*30571810*false*23.0369***0.76*0.06*-0.18*2.2*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Trimester 3 2010*2010-07-01*2010-09-30*110*fondos@gesconsult.es*Aa2*Medio-Bajo*0.49*0.37**1582259.45*1440*0.0*36516059*false*23.0784***0.38*0.03*2.06*2.47*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Semester 1 2010*2010-01-01*2010-06-30*110*fondos@gesconsult.es*Aa2*Medio-Bajo*0.81*0.3**1736759.65*1557*0.0*39273143*false*22.6129***0.75*0.06*-3.44*4.34*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Trimester 1 2010*2010-01-01*2010-03-31*110*fondos@gesconsult.es*Aa2*Medio-Bajo*0.31*0.24**2279624.35*1812*0.0*53382713*false*23.4173***0.37*0.03*-1.3*2.49*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 3 2011*2011-07-01*2011-09-30*110*fondos@gesconsult.es*N/D*MEDIO*0.43*1.37**1871511.12*1174*0.0*43896977*false*23.4554***0.38*0.03*-0.1*1.0*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 1 2011*2011-01-01*2011-06-30*110*fondos@gesconsult.es*N/D*MEDIO*0.0*1.14**1837100.84*1179*0.0*43132073*false*23.4783***0.57*0.06*0.77*1.96*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Trimester 1 2011*2011-01-01*2011-03-31*110*fondos@gesconsult.es*Aa2*Medio-Bajo*0.41*0.48**1138197.0*1203*0.0*26519788*false*23.2998***0.37*0.03*1.14*2.03*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Semester 2 2010*2010-07-01*2010-12-31*110*fondos@gesconsult.es*Aa2*Medio-Bajo*1.04*0.47**1327081.48*1306*0.0*30571810*false*23.0369***0.76*0.06*-0.18*2.2*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 3 2012*2012-07-01*2012-09-30*110*fondos@gesconsult.es*ND*MEDIO*0.59*0.58**1592678.5*1046*0.0*36920752*false*23.1815*0.38*0.0*0.38*0.03*1.9*1.74*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
