fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MEDIOLANUM EXCELLENT, FI*FIBANC EXCELLENT, FI*62099940*Semester 2 2009*2009-07-01*2009-12-31*1965*N/D*ND*Alto*0.05*0.46**462617.99*101*0.0*4324084*false*9.347***0.43*0.02*1.18*1.4*0.19*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*FIBANC EXCELLENT, FI*62099940*Trimester 3 2009*2009-07-01*2009-09-30*1965*N/D*ND*Alto*0.0*0.45**462617.99*101*0.0*4273646*false*9.238***0.27*0.01*2.13*1.46*0.29*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*FIBANC EXCELLENT, FI*62099940*Semester 1 2009*2009-01-01*2009-06-30*1965*mprepiso@fibancmediolanum.es*ND*Alto*0.3*0.97**462617.99*101*0.0*4184342*false*9.0449***0.25*0.02*3.94*2.01*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2010*2010-07-01*2010-12-31*1965*N/D*ND*Muy Alto*1.1*0.43**462616.99*100*0.0*4442223*false*9.6024***0.33*0.02*1.25*2.16*0.2*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2010*2010-07-01*2010-09-30*1965*N/D*ND*Muy Alto*0.69*0.38**462617.99*101*0.0*4387522*false*9.4841***0.18*0.01*1.23*2.55*0.19*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*FIBANC EXCELLENT, FI*62099940*Semester 1 2010*2010-01-01*2010-06-30*1965*N/D*ND*Muy Alto*0.82*0.43**462617.99*101*0.0*4334172*false*9.3688***0.25*0.02*-1.26*2.9*0.12*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*FIBANC EXCELLENT, FI*62099940*Trimester 1 2010*2010-01-01*2010-03-31*1965*N/D*ND*Alto*0.33*0.42**462617.99*101*0.0*4389656*false*9.4887***0.17*0.01****MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2011*2011-07-01*2011-09-30*1965*N/D*ND*Muy Alto*0.5*1.08**462616.99*100*0.0*4226443*false*9.1359***0.11*0.01*-5.51*5.58*0.13*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2011*2011-01-01*2011-06-30*1965*N/D*ND*Muy Alto*0.59*0.68**462616.99*100*0.0*4472737*false*9.6683***0.27*0.02*0.1*2.73*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2011*2011-01-01*2011-03-31*1965*N/D*ND*Muy Alto*0.29*0.48**462616.99*100*0.0*4468350*false*9.6589***0.14*0.01*0.59*2.59*0.17*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2010*2010-07-01*2010-12-31*1965*N/D*ND*Muy Alto*1.1*0.43**462616.99*100*0.0*4442223*false*9.6024***0.33*0.02*1.25*2.16*0.2*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2012*2012-07-01*2012-09-30*1965*N/D*ND*Muy Alto*0.2*0.26**462620.98*104*0.0*4450835*false*9.6209*0.13*0.0*0.13*0.01*2.13*2.4*0.38*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2012*2012-01-01*2012-06-30*1965*N/D*ND*Muy Alto*0.74*0.37**462620.98*104*0.0*4358022*false*9.4203*0.25*0.0*0.25*0.02***0.41*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2012*2012-01-01*2012-03-31*1965*N/D*ND*Muy Alto*0.35*0.41**462622.98*106*0.0*4375428*false*9.4579*0.12*0.0*0.12*0.01*2.02*1.57*0.35*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2011*2011-07-01*2011-12-31*1965*N/D*ND*Muy Alto*0.77*1.12**462617.99*101*0.0*4288639*false*9.2704*0.25*-0.02*0.23*0.02*1.47*3.34*0.34*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2013*2013-07-01*2013-12-31*1965*N/D*ND*Muy Alto*1.3*0.02**462618.98*102*0.0*4612050*false*9.9694*0.25*0.1*0.35*0.02*1.93*2.68*0.15*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2013*2013-07-01*2013-09-30*1965*N/D*ND*Muy Alto*0.23*0.16**462619.98*103*0.0*4524557*false*9.7803*0.13*0.04*0.17*0.01*1.84*2.6*0.15*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2013*2013-01-01*2013-06-30*1965*N/D*ND*Muy Alto*0.89*0.2**462619.98*103*0.0*4442952*false*9.6039*0.25*0.0*0.25*0.02*-2.08*3.83*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
