fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 2 2009*2009-07-01*2009-12-31*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.02*0.17**813448.02*386*0.0*5297877*false*6.5129***0.76*0.05*0.1*4.31*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 3 2009*2009-07-01*2009-09-30*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.18*0.17**680257.21*360*0.0*4426056*false*6.5064***0.38*0.03*4.61*4.06*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 1 2009*2009-01-01*2009-06-30*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.0*0.8**658208.81*353*0.0*4094037*false*6.22***0.74*0.05*5.92*6.28*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 2 2010*2010-07-01*2010-12-31*3217*bbk.gestion@grupobbk.com*A (IBCA)*Medio*0.0*0.32**932713.82*354*0.0*6029635*false*6.4646***0.76*0.05*0.06*3.5*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 3 2010*2010-07-01*2010-09-30*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.0*0.22**846095.77*368*0.0*5466394*false*6.4607***0.38*0.03*1.57*3.92*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 1 2010*2010-01-01*2010-06-30*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.0*0.16**882437.33*383*0.0*5612987*false*6.3608***0.74*0.05*-2.91*7.21*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 1 2010*2010-01-01*2010-03-31*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.0*0.16**883234.04*394*0.0*5786162*false*6.5511***0.37*0.02*0.59*4.0*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 2 2011*2011-07-01*2011-12-31*3217*bbk.gestion@grupobbk.com*A (IBCA)*Medio*0.14*0.7**835166.33*330*0.0*5443899*false*6.5183*0.76*0.0*0.76*0.05*1.58*6.78*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 3 2011*2011-07-01*2011-09-30*3217*bbk.gestion@grupobbk.com*A (IBCA)*Medio*0.0*0.77**870275.8*345*0.0*5584488*false*6.4169***0.38*0.03*-3.1*7.12*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 1 2011*2011-01-01*2011-06-30*3217*bbk.gestion@grupobbk.com*A (IBCA)*Medio*0.05*0.63**882658.2*346*0.0*5845091*false*6.6221***0.74*0.05*0.2*3.27*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 1 2011*2011-01-01*2011-03-31*3217*bbk.gestion@grupobbk.com*A (IBCA)*Medio*0.0*0.45**858859.54*347*0.0*5675900*false*6.6086***0.37*0.02*2.23*3.22*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
