fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 2 2009*2009-07-01*2009-12-31*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.74*0.23**4767989.4*11755*0.0*179393118*false*37.6245***1.13*0.1*1.74*12.99*0.63*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 3 2009*2009-07-01*2009-09-30*24*comsanassetm@gruposantander.com*Aa2*Medio*0.42*0.26**4844242.38*11955*0.0*179141000*false*36.9801***0.57*0.05*12.11*12.04*0.64*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 1 2009*2009-01-01*2009-06-30*24*comsanassetm@gruposantander.com*Aa1*Medio*2.28*1.28**4928596.35*12186*0.0*162568000*false*32.9846***1.12*0.1*7.77*13.53*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 2 2010*2010-07-01*2010-12-31*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.97*0.43**4249195.17*10835*0.0*153112919*false*36.0334***1.13*0.1*-0.65*10.0*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 3 2010*2010-07-01*2010-09-30*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.45*0.3**4449741.66*11219*0.0*161380684*false*36.2674***0.57*0.05*4.67*11.95*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 1 2010*2010-01-01*2010-06-30*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*1.12*0.28**4559124.48*11442*0.0*157964595*false*34.648***1.12*0.1*-7.86*19.69*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 1 2010*2010-01-01*2010-03-31*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.52*0.22**4715661.19*11705*0.0*177323192*false*37.603***0.55*0.05*-0.06*10.04*0.64*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 3 2011*2011-07-01*2011-09-30*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.38*1.31**3733016.13*9942*0.0*111932776*false*29.9845***0.57*0.05*-17.14*25.45*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 1 2011*2011-01-01*2011-06-30*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.9*0.67**3839610.12*10144*0.0*138952255*false*36.1892***1.12*0.1*-1.38*11.15*0.64*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 1 2011*2011-01-01*2011-03-31*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.38*0.47**4020916.62*10448*0.0*147551868*false*36.6961***0.56*0.05*1.84*10.46*0.63*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 2 2010*2010-07-01*2010-12-31*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.97*0.43**4249195.17*10835*0.0*153112919*false*36.0334***1.13*0.1*-0.65*10.0*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 3 2012*2012-07-01*2012-09-30*24*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.29*0.16**3402724.38*9192*0.0*111415807*false*32.7431*0.57**0.57*0.05*5.28*14.03*0.66*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 1 2012*2012-01-01*2012-06-30*24*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.16*0.25**3481471.81*9361*0.0*108279116*false*31.1015*1.12**1.12*0.1*-4.78*13.03*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 1 2012*2012-01-01*2012-03-31*24*informesfondos@gruposantander.com*Aa3*Medio-Alto*0.07*0.27**3566742.23*9504*0.0*116499295*false*32.6627*0.56**0.56*0.05*6.13*10.15*0.64*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 2 2011*2011-07-01*2011-12-31*24*informesfondos@gruposantander.com*Aa3*Medio-Alto*1.44*1.42**3650592.83*9747*0.0*112351942*false*30.7764*1.13**1.13*0.1*2.64*20.68*0.67*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 2 2013*2013-07-01*2013-12-31*24*informesfondos@gruposantander.com*Baa2*Alto*0.56*0.07**3253606.08*8733*0.0*124444930*false*38.2483*1.13**1.13*0.1*4.53*6.44*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 3 2013*2013-07-01*2013-09-30*24*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.13*0.05**3167595.67*8695*0.0*115907581*false*36.5917*0.57**0.57*0.05*5.41*7.5*0.65*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 1 2013*2013-01-01*2013-06-30*24*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.09*0.06**3179233.41*8732*0.0*110364505*false*34.7142*1.12**1.12*0.1*2.44*10.95*0.7*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 1 2013*2013-01-01*2013-03-31*24*informesfondos@gruposantander.com*Baa2*Medio-Alto*0.0*0.05**3225156.36*8878*0.0*109287947*false*33.8861*0.56**0.56*0.05*-0.67*9.88*0.64*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
