fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2015*2015-07-01*2015-12-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.19**8076187.75*2086*0.0*48176970*false*5.9653*0.33**0.33*0.03*1.09*5.44*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 3 2015*2015-07-01*2015-09-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.37**8144135.28*2104*0.0*48059466*false*5.9011*0.16**0.16*0.01*-1.31*7.36*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 1 2015*2015-01-01*2015-06-30*4831*attclienteunigest@grupounicaja.es*BB- (Standars and Poors)*2 en una escala de 1 a 7*0.49*0.86**8244998.19*2131*0.0*49302333*false*5.9797*0.32**0.32*0.02*-4.46*8.74*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, FI*93363943*Trimester 1 2015*2015-01-01*2015-03-31*4831*attclienteunigest@grupounicaja.es*BB- (Standars and Poors)*2 en una escala de 1 a 7*0.53*0.91**8323887.05*2149*0.0*52100093*false*6.2591*0.16**0.16*0.01*4.32*5.22*0.17*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2016*2016-07-01*2016-12-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**7337214.25*1916*0.0*43751599*false*5.963*0.33**0.33*0.03*0.21*2.78*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 3 2016*2016-07-01*2016-09-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**7420854.7*1934*0.0*44155814*false*5.9502*0.16**0.16*0.01*0.51*2.52*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 1 2016*2016-01-01*2016-06-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**7439662.64*1943*0.0*44044396*false*5.9202*0.32**0.32*0.02*0.23*5.6*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 1 2016*2016-01-01*2016-03-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**8015486.5*2078*0.0*47346142*false*5.9068*0.16**0.16*0.01*-0.98*5.34*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2017*2017-07-01*2017-12-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.01*0.0**6429625.45*1678*0.0*38490946*false*5.9865*0.33**0.33*0.03*-1.04*3.3*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 3 2017*2017-07-01*2017-09-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.01*0.0**6483784.35*1687*0.0*39222161*false*6.0493*0.16**0.16*0.01*-0.8*2.81*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 1 2017*2017-01-01*2017-06-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**6528405.81*1699*0.0*39809523*false*6.0979*0.32**0.32*0.02*0.23*3.54*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
