fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Semester 2 2018*2018-07-01*2018-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.0*0.0**45455.71*15*0.0*443593*false*9.7588*0.11*[]*0.11*0.01*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Trimester 3 2019*2019-07-01*2019-09-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.32*-0.42**233165.77*71*0.0*2593210*false*11.1217*0.18*[]*0.18*0.02*2.44*11.6*0.22*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL F*40518029*Trimester 3 2019*2019-07-01*2019-09-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.32*-0.42**500000.0*2*0.0*5575093*false*11.1502*0.09*[]*0.09*0.02*2.53*11.61*0.13*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL M*40518029*Trimester 3 2019*2019-07-01*2019-09-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.32*-0.42**15250.5*14*0.0*159133*false*10.4346*0.37*[]*0.37*0.02*2.23*11.6*0.41*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Semester 1 2019*2019-01-01*2019-06-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.79*-0.33**233260.63*72*0.0*2532420*false*10.8566*0.35*[]*0.35*0.03*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL F*40518029*Semester 1 2019*2019-01-01*2019-06-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.79*-0.33**500000.0*2*0.0*5437391*false*10.8748*0.17*[]*0.17*0.03*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL M*40518029*Semester 1 2019*2019-01-01*2019-06-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.79*-0.33**3214.92*6*0.0*32813*false*10.2066*0.49*[]*0.49*0.02*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Trimester 1 2019*2019-01-01*2019-03-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.2*-0.4**232334.0*71*0.0*2478225*false*10.6666*0.17*[]*0.17*0.02*9.3*10.55*0.22*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL F*40518029*Trimester 1 2019*2019-01-01*2019-03-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.2*-0.4**500000.0*2*0.0*5337589*false*10.6752*0.09*[]*0.09*0.02*9.4*10.55*0.14*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL M*40518029*Trimester 1 2019*2019-01-01*2019-03-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.2*-0.4**702.45*2*0.0*7058*false*10.048*0.1*[]*0.1*0.0*0.48*9.0*0.13*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Semester 2 2018*2018-07-01*2018-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.0*0.0**45455.71*15*0.0*443593*false*9.7588*0.11*[]*0.11*0.01*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL F*40518029*Semester 2 2018*2018-07-01*2018-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.0*0.0**500000.0*2*0.0*4879090*false*9.7582*0.04*[]*0.04*0.01*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL M*40518029*Semester 2 2018*2018-07-01*2018-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*[]*0.0*0.0*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Semester 2 2020*2020-07-01*2020-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.51*-0.51**227281.76*67*0.0*2960366*false*13.0251*0.35*[]*0.35*0.04*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL F*40518029*Semester 2 2020*2020-07-01*2020-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.51*-0.51**500000.0*2*0.0*6557877*false*13.1158*0.18*[]*0.18*0.04*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL M*40518029*Semester 2 2020*2020-07-01*2020-12-31*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.51*-0.51**152379.04*83*0.0*1843574*false*12.0986*0.75*[]*0.75*0.04*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Trimester 3 2020*2020-07-01*2020-09-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.23*-0.5**228707.72*68*0.0*2603163*false*11.3821*0.18*[]*0.18*0.02*6.23*13.82*0.21*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL F*40518029*Trimester 3 2020*2020-07-01*2020-09-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.23*-0.5**500000.0*2*0.0*5725599*false*11.4512*0.09*[]*0.09*0.02*6.32*13.81*0.12*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL M*40518029*Trimester 3 2020*2020-07-01*2020-09-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*0.23*-0.5**135318.03*77*0.0*1433521*false*10.5937*0.38*[]*0.38*0.02*6.02*13.82*0.41*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
NAO EUROPA SOSTENIBLE, FI*NAO EUROPA SOSTENIBLE, CL D*40518029*Semester 1 2020*2020-01-01*2020-06-30*5313*info@nao-sam.com*A+*6 en una escala del 1 al 7.*1.0*-0.5**228896.22*69*0.0*2452496*false*10.7144*0.34*[]*0.34*0.03*[]*[]*[]*NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
