fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Semester 2 2017*2017-07-01*2017-12-31*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.43*-0.13**17909479.63*6049*0.0*179065000*false*9.9983*0.1*0.0*0.1*0.02*0.0*0.41*0.18*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Trimester 3 2017*2017-07-01*2017-09-30*5170*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.0*-0.05**2445166.97*842*0.0*24446000*false*9.9979*0.03*0.0*0.03*0.01*-0.02*0.07*0.12*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Semester 1 2017*2017-01-01*2017-06-30*5170*bbvafondos@bbva.com*0*3 en una escala del 1 al 7*0.0*0.0**30000.0*1*0.0*300000*false*10.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Semester 2 2018*2018-07-01*2018-12-31*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.23*-0.24**94820486.6*20305*0.0*931408000*false*9.8229*0.1*0.0*0.1*0.03*-0.76*0.54*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL FI*87778742*Trimester 3 2018*2018-07-01*2018-09-30*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.09*-0.26**53891825.85*17714*0.0*533445000*false*9.8984*0.05*0.0*0.05*0.01*-0.38*0.5*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL FI*87778742*Semester 1 2018*2018-01-01*2018-06-30*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.07*-0.29**46517824.6*15193*0.0*462215000*false*9.9363*0.1*0.0*0.1*0.02*-0.64*1.13*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Trimester 1 2018*2018-01-01*2018-03-31*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.16*-0.3**34043948.55*11077*0.0*340458000*false*10.0005*0.05*0.0*0.05*0.01*0.02*0.34*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Trimester 3 2019*2019-07-01*2019-09-30*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.32*-0.36**91830305.51*30995*0.0*908894000*false*9.8975*0.05*0.0*0.05*0.01*0.19*0.41*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Semester 1 2019*2019-01-01*2019-06-30*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.0*-0.36**88014468.04*29313*0.0*869451000*false*9.8785*0.1*0.0*0.1*0.02*0.25*0.41*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Trimester 1 2019*2019-01-01*2019-03-31*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.0*-0.36**99830521.56*24821*0.0*983734000*false*9.854*0.05*0.0*0.05*0.01*0.32*0.39*0.15*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
ESTRATEGIA CAPITAL FI*ESTRATEGIA CAPITAL, FI*87778742*Semester 2 2018*2018-07-01*2018-12-31*5170*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.23*-0.24**94820486.6*20305*0.0*931408000*false*9.8229*0.1*0.0*0.1*0.03*-0.76*0.54*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0133371007
