fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2009 S2*2009-07-01*2009-12-31*2751*info@profitgestion.es*n.d.*Alto*0.0*0.45**8449.45*149*0.0*6859868*false *811.8714***0.51*0.04*4.52*11.71*0.29*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2009 T3*2009-07-01*2009-09-30*2751*info@profitgestion.es*n.d.*Alto*0.0*0.3**8106.78*146*0.0*6296845*false *776.7382***0.25*0.02*11.81*10.57*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2009 S1*2009-01-01*2009-06-30*2751*info@profitgestion.es*n.d.*Alto*0.17*0.89**8289.39*144*0.0*5758649*false*694.7008***0.5*0.04*3.06*15.54*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2010 S2*2010-07-01*2010-12-31*2751*info@profitgestion.es*n.d.*Alto*0.16*0.33**8663.64*153*0.0*7210839*false *832.311***0.5*0.04*4.6*10.13*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2010 T3*2010-07-01*2010-09-30*2751*info@profitgestion.es*n.d.*Alto*0.09*0.25**8698.08*155*0.0*6921333*false *795.7316***0.25*0.02*3.58*12.85*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2010 S1*2010-01-01*2010-06-30*2751*info@profitgestion.es*n.d.*Alto*0.32*0.26**8743.65*152*0.0*6716921*false *768.2054***0.5*0.03*-7.37*17.88*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2010 T1*2010-01-01*2010-03-31*2751*info@profitgestion.es*n.d.*Alto*0.01*0.22**8701.24*150*0.0*7215896*false *829.2955***0.25*0.02*2.15*9.82*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2011 S2*2011-07-01*2011-12-31*2751*info@profitgestion.es*n.d.*Alto*0.27*0.63**8777.64*149*0.0*6927849*false *789.261*0.5*-0.18*0.32*0.04*5.72*17.44*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2011 T3*2011-07-01*2011-09-30*2751*info@profitgestion.es*n.d.*Alto*0.18*0.66**8720.95*146*0.0*6510687*false *746.557***0.07*0.02*-13.24*23.15*0.1*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2011 S1*2011-01-01*2011-06-30*2751*info@profitgestion.es*n.d.*Alto*0.47*0.62**8765.96*149*0.0*7543210*false *860.5114***0.66*0.03*1.44*9.7*0.35*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2011 T1*2011-01-01*2011-03-31*2751*info@profitgestion.es*n.d.*Alto*0.08*0.43**8797.81*153*0.0*7462799*false *848.2565***0.34*0.02*1.92*11.12*0.36*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2012 T3*2012-07-01*2012-09-30*2751*info@profitgestion.es*n.d.*Alto*0.22*0.08**8747.44*147*0.0*7439509*false *850.4788*0.25*0.36*0.61*0.02*3.3*8.72*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2012 S1*2012-01-01*2012-06-30*2751*info@profitgestion.es*n.d.*Alto*0.54*0.16**8890.99*149*0.0*7319866*false *823.2903*0.5*0.0*0.5*0.03***0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2012 T1*2012-01-01*2012-03-31*2751*info@profitgestion.es*n.d.*Alto*0.16*0.14**8700.54*146*0.0*7340158*false *843.6438*0.25*0.33*0.58*0.02***0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2011 S2*2011-07-01*2011-12-31*2751*info@profitgestion.es*n.d.*Alto*0.27*0.63**8777.64*149*0.0*6927849*false *789.261*0.5*-0.18*0.32*0.04*5.72*17.44*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2013 S2*2013-07-01*2013-12-31*2751*info@profitgestion.es*n.d.*ALTO*0.32*0.0**9226.01*168*0.0*9356877*false*1014.1844*0.5*0.42*0.92*0.04*4.32*6.13*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2013 T3*2013-07-01*2013-09-30*2751*info@profitgestion.es*n.d.*ALTO*0.15*0.0**9100.67*159*0.0*8847161*false*972.1441*0.25*0.21*0.46*0.02*4.32*6.38*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2013 S1*2013-01-01*2013-06-30*2751*info@profitgestion.es*n.d.*ALTO*0.33*0.36**9054.09*155*0.0*8437656*false*931.9168*0.5*0.29*0.79*0.03*1.4*9.23*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
