fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONGRUM, FI*FONGRUM, FI*48518260*Semester 2 2009*2009-07-01*2009-12-31*355*oscar.rodriguez@inversis.com*N/D*Medio*0.21*0.26**277642.24*103*0.0*3633175*false*13.0858***0.76*0.1*-0.18*2.05*0.51*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 3 2009*2009-07-01*2009-09-30*355*oscar.rodriguez@inversis.com*ND*Medio*0.06*0.27**280791.38*107*0.0*3681044*false*13.1095***0.38*0.05*1.94*1.87*0.49*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 1 2009*2009-01-01*2009-06-30*355*N/D*N/D*Medio*0.09*0.98**325629.01*95*0.0*4187411*false*12.8595***0.74*0.1*1.17*1.23*0.48*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 2 2010*2010-07-01*2010-12-31*355*oscar.rodriguez@inversis.com*ND*Medio*0.9*0.43**238228.53*104*0.0*3025782*false*12.7012***0.76*0.1*0.09*4.08*0.51*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 3 2010*2010-07-01*2010-09-30*355*oscar.rodriguez@inversis.com*ND*Medio*0.32*0.37**240784.75*102*0.0*3055372*false*12.6892***0.38*0.05*3.73*4.29*0.53*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 1 2010*2010-01-01*2010-06-30*355*oscar.rodriguez@inversis.com*ND*Medio*0.62*0.28**243585.85*101*0.0*2979819*false*12.2331***0.74*0.1*-6.27*7.12*0.52*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 1 2010*2010-01-01*2010-03-31*355*oscar.rodriguez@inversis.com*N/D*Medio*0.26*0.22**267974.98*95*0.0*3497532*false*13.0517***0.37*0.05*-0.26*4.27*0.5*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 3 2011*2011-07-01*2011-09-30*355*oscar.rodriguez@inversis.com*ND*ALTO*1.23*0.49**899813.34*250*0.0*10484442*false*11.6518***0.16*0.03*-8.08*14.25*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 1 2011*2011-01-01*2011-06-30*355*oscar.rodriguez@inversis.com*ND*ALTO*0.0*0.55**911632.54*260*0.0*11555337*false*12.6754***0.49*0.07***0.25*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 1 2011*2011-01-01*2011-03-31*355*oscar.rodriguez@inversis.com*N/D*Medio*0.3*0.59**212926.81*101*0.0*2753008*false*12.9294***0.37*0.05*1.8*4.37*0.5*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 2 2010*2010-07-01*2010-12-31*355*oscar.rodriguez@inversis.com*ND*Medio*0.9*0.43**238228.53*104*0.0*3025782*false*12.7012***0.76*0.1*0.09*4.08*0.51*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 3 2012*2012-07-01*2012-09-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.76*0.09**773942.76*240*0.0*9786347*false*12.6448*0.16*0.0*0.16*0.03*3.64*8.07*0.21*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 1 2012*2012-01-01*2012-06-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*1.33*0.11**779921.98*244*0.0*9515227*false*12.2002*0.32*0.0*0.32*0.05*-2.83*9.05*0.21*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Trimester 1 2012*2012-01-01*2012-03-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.81*0.16**863677.05*246*0.0*10844258*false*12.5559*0.16*0.0*0.16*0.02*5.36*5.18*0.2*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM, FI*48518260*Semester 2 2011*2011-07-01*2011-12-31*355*oscar.rodriguez@inversis.com*ND*ALTO*1.86*0.44**869153.71*249*0.0*10358320*false*11.9177*0.33*0.0*0.33*0.05*2.28*10.07*0.22*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 3 2013*2013-07-01*2013-09-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.78*0.04**854372.84*213*0.0*12194333*false*14.2728*0.16*0.24*0.41*0.03*4.45*4.76*0.25*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 1 2013*2013-01-01*2013-06-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*1.36*0.11**812984.9*212*0.0*11108921*false*13.6644*0.32*0.0*0.32*0.05*-0.17*6.33*0.25*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 1 2013*2013-01-01*2013-03-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.66*0.11**790426.35*216*0.0*10819255*false*13.6879*0.16*0.0*0.16*0.02*3.6*4.85*0.25*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 2 2012*2012-07-01*2012-12-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*1.43*0.01**732291.61*210*0.0*9675498*false*13.2126*0.67*0.0*0.67*0.1***0.9*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 2 2014*2014-07-01*2014-12-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*1.01*0.02**1039186.83*187*0.0*16191899*false*15.5813*0.32*0.03*0.35*0.05*0.13*10.2*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 3 2014*2014-07-01*2014-09-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.72*0.03**1008700.6*188*0.0*15696832*false*15.5614*0.16*0.02*0.19*0.03*0.62*6.01*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 1 2014*2014-01-01*2014-06-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*1.15*0.53**1037395.25*195*0.0*16043166*false*15.4648*0.32*0.04*0.36*0.05*1.13*5.3*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 1 2014*2014-01-01*2014-03-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.74*0.94**1014965.0*185*0.0*15520153*false*15.2913*0.16*0.01*0.17*0.02*4.01*6.48*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 3 2015*2015-07-01*2015-09-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.38*-0.04**1113139.2*184*0.0*17524213*false*15.7431*0.16*-0.24*-0.08*0.03*-6.55*10.47*0.22*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 1 2015*2015-01-01*2015-06-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.87*0.0**1062017.54*182*0.0*17891864*false*16.8471*0.31*0.27*0.59*0.05*-0.04*6.03*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 1 2015*2015-01-01*2015-03-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.42*0.0**1040291.39*188*0.0*17532890*false*16.8538*0.16*0.29*0.44*0.02*8.17*6.85*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 2 2014*2014-07-01*2014-12-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*1.01*0.02**1039186.83*187*0.0*16191899*false*15.5813*0.32*0.03*0.35*0.05*0.13*10.2*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 2 2016*2016-07-01*2016-12-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.37*-0.04**1679845.66*208*0.0*26812633*false*15.9614*0.32*0.0*0.32*0.05*1.71*4.5*0.24*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 3 2016*2016-07-01*2016-09-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.0*-0.08**1737133.76*208*0.0*27259929*false*15.6925*0.16*0.0*0.16*0.03*1.33*4.51*0.22*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Semester 1 2016*2016-01-01*2016-06-30*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.56*5.74**1088236.9*170*0.0*16852489*false*15.486*0.32*0.0*0.32*0.05*0.26*9.27*0.2*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM , FI*48518260*Trimester 1 2016*2016-01-01*2016-03-31*355*oscar.rodriguez@inversis.com*ND*7 en una escala de 1 a 7*0.33*0.0**1099936.92*173*0.0*16988828*false*15.4453*0.16*0.0*0.16*0.02*-3.01*12.47*0.21*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 2 2017*2017-07-01*2017-12-31*355*informacion@atlcapital.es*Baa1((Moodys))*7 en una escala del 1 al 7*0.32*0.0**1631732.08*184*0.0*27050565*false*16.5778*0.29*0.02*0.29*0.04*0.82*4.0*0.25*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 3 2017*2017-07-01*2017-09-30*355*informacion@atlcapital.es*Baa1((Moodys))*7 en una escala del 1 al 7*0.18*0.0**1672009.4*190*0.0*27492179*false*16.4426*0.15**0.15*0.02*0.87*4.06*0.2*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 1 2017*2017-01-01*2017-06-30*355*informacion@atlcapital.es*Baa1((Moodys))*7 en una escala del 1 al 7*1.02*0.0**1674752.19*193*0.0*27300245*false*16.3011*0.3**0.3*0.04*-1.4*3.79*0.21*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 1 2017*2017-01-01*2017-03-31*355*informacion@atlcapital.es*Baa1*7 en una escala del 1 al 7*0.96*0.0**1679701.81*195*0.0*27769102*false*16.5322*0.16**0.16*0.02*3.58*4.08*0.23*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 2 2018*2018-07-01*2018-12-31*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.21*0.0**1585877.72*166*0.0*24117556*false*15.2077*0.29*0.0*0.29*0.04*-7.16*6.61*0.3*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 3 2018*2018-07-01*2018-09-30*355*informacion@atlcapital.es*Baa1((Moodys))*7 en una escala del 1 al 7*0.09*0.0**1539204.35*174*0.0*25212699*false*16.3803*0.15**0.15*0.02*-0.92*3.22*0.3*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 1 2018*2018-01-01*2018-06-30*355*informacion@atlcapital.es*Baa1((Moodys))*7 en una escala del 1 al 7*0.28*0.0**1548439.46*175*0.0*25599718*false*16.5326*0.29**0.29*0.04*1.37*4.67*0.31*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 1 2018*2018-01-01*2018-03-31*355*informacion@atlcapital.es*Baa1((Moodys))*7 en una escala del 1 al 7*0.03*0.0**1568333.08*178*0.0*25577269*false*16.3086*0.14**0.14*0.02*-1.62*5.73*0.33*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 2 2019*2019-07-01*2019-12-31*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.07*-0.08**1507063.56*157*0.0*24174954*false*16.0411*0.29*0.03*0.32*0.04*2.61*4.14*0.29*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 3 2019*2019-07-01*2019-09-30*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.06*-0.07**1565113.83*160*0.0*24467659*false*15.6332*0.15*0.0*0.15*0.02*-0.31*5.45*0.29*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 1 2019*2019-01-01*2019-06-30*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.21*-0.01**1566276.33*161*0.0*24561478*false*15.6814*0.29*0.0*0.29*0.04*-0.66*4.17*0.3*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 1 2019*2019-01-01*2019-03-31*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.08*0.0**1573964.31*163*0.0*24845045*false*15.785*0.14*0.0*0.14*0.02*3.8*4.84*0.29*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 2 2020*2020-07-01*2020-12-31*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.3*-0.14**1535182.98*151*0.0*24646788*false*16.0546*0.29**0.29*0.04*4.9*5.85*0.32*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 3 2020*2020-07-01*2020-09-30*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.04*-0.2**1581442.9*155*0.0*24203300*false*15.3046*0.15**0.15*0.02*0.67*5.37*0.29*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Semester 1 2020*2020-01-01*2020-06-30*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.9*-0.09**1620847.59*159*0.0*24641427*false*15.2028*0.29**0.29*0.04*8.37*12.27*0.31*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
FONGRUM, FI*FONGRUM FI*48518260*Trimester 1 2020*2020-01-01*2020-03-31*355*informacion@atlcapital.es*Baa2((Moodys))*7 en una escala del 1 al 7*0.66*-0.11**1515906.86*158*0.0*21266868*false*14.0291*0.14**0.14*0.02*-12.54*21.32*0.29*ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.*BANKINTER, S.A.*
