fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Semester 2 2016*2016-07-01*2016-12-31*5075*N/D*ND*7 en una escala de 1 a 7*0.0*-0.32**1142506.08*1802*0.0*114031652*false*99.8084*0.0*0.0*0.0*0.01***0.03*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Trimester 3 2017*2017-07-01*2017-09-30*5075*N/D*ND*7 en una escala de 1 a 7*0.32*0.0**7999579.63*10061*0.0*826713120*false*103.3446*0.44*0.0*0.44*0.01*1.13*9.6*0.45*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Semester 1 2017*2017-01-01*2017-06-30*5075*N/D*ND*7 en una escala de 1 a 7*1.16*0.0**7048407.04*8615*0.0*720248489*false*102.186*0.86*0.0*0.86*0.01*-2.24*9.29*0.44*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Trimester 1 2017*2017-01-01*2017-03-31*5075*N/D*ND*7 en una escala de 1 a 7*0.88*0.0**4972656.79*4728*0.0*519766854*false*104.525*0.43*0.0*0.43*0.01*4.73*8.42*0.43*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Semester 2 2016*2016-07-01*2016-12-31*5075*N/D*ND*7 en una escala de 1 a 7*0.0*-0.32**1142506.08*1802*0.0*114031652*false*99.8084*0.0*0.0*0.0*0.01***0.03*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Semester 2 2018*2018-07-01*2018-12-31*5075*N/D*ND*7 en una escala de 1 a 7*0.39*-0.14**9408532.29*13805*0.0*728794623*false*77.461*0.88*0.0*0.88*0.01*-22.37*19.73*0.45*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Trimester 3 2018*2018-07-01*2018-09-30*5075*N/D*ND*7 en una escala de 1 a 7*0.2*0.0**9577771.49*13843*0.0*955741667*false*99.7875*0.44*0.0*0.44*0.01*-4.23*9.8*0.45*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Semester 1 2018*2018-01-01*2018-06-30*5075*N/D*ND*7 en una escala de 1 a 7*0.54*0.0**9646656.3*13686*0.0*1005174191*false*104.1992*0.87*0.0*0.87*0.01*3.45*12.79*0.44*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*COBAS SELECCIÓN, FI*87647368*Trimester 1 2018*2018-01-01*2018-03-31*5075*N/D*ND*7 en una escala de 1 a 7*0.25*0.0**9608244.01*13161*0.0*967780308*false*100.724*0.43*0.0*0.43*0.01*-8.47*13.95*0.44*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*Cobas Selección, FI*87647368*Trimester 3 2019*2019-07-01*2019-09-30*5075*info@cobasam.com*ND*7 en una escala de 1 a 7*0.17*-0.12**8985463.55*13787*0.0*679776964*false*75.653*0.44*0.0*0.44*0.01*-5.67*17.05*0.45*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
COBAS SELECCION, FI*Cobas Selección, FI*87647368*Semester 1 2019*2019-01-01*2019-06-30*5075*info@cobasam.com*ND*7 en una escala de 1 a 7*0.41*-0.15**9224690.57*13920*0.0*739792576*false*80.197*0.87*0.0*0.87*0.01*-6.26*14.39*0.44*COBAS ASSET MANAGEMENT, SGIIC, S.A.*BANCO INVERSIS, S.A.*
