fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2009 S2*2009-07-01*2009-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.29**12243625.11*596*0.0*56772277*false *4.6369***0.05*0.02*0.06*0.01*0.03*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2009 T3*2009-07-01*2009-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.28**13863642.88*719*0.0*64243140*false *4.6339***0.03*0.01*0.06*0.0*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2009 S1*2009-01-01*2009-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.91**16150212.1*796*0.0*74792243*false*4.631***0.05*0.02*0.64*0.01*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2010 S2*2010-07-01*2010-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.69*0.46**6652017.11*440*0.0*31019900*false *4.6632***0.05*0.02*0.2*0.35*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2010 T3*2010-07-01*2010-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.38*0.37**7107762.0*483*0.0*33077890*false *4.6538***0.03*0.01***0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2010 S1*2010-01-01*2010-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.26**9014397.86*547*0.0*41844809*false *4.642***0.05*0.02*0.06*0.06*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2010 T1*2010-01-01*2010-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.14**10313354.86*526*0.0*47843978*false *4.639***0.02*0.01*0.05*0.04*0.03*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2011 T3*2011-07-01*2011-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.06*0.98**4185866.46*388*0.0*19683995*false *4.7025***0.03*0.01*0.12*0.2*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2011 S1*2011-01-01*2011-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.6*0.72**4281761.53*406*0.0*20111449*false *4.697***0.05*0.02*0.29*0.14*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2011 T1*2011-01-01*2011-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.59*0.52**6114121.43*406*0.0*28634528*false *4.6833***0.02*0.01*0.43*0.54*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2010 S2*2010-07-01*2010-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.69*0.46**6652017.11*440*0.0*31019900*false *4.6632***0.05*0.02*0.2*0.35*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2012 T3*2012-07-01*2012-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.14**3518934.47*319*0.0*16781662*false *4.769*0.03*0.0*0.03*0.01*0.68*0.48*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2012 S1*2012-01-01*2012-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.21*0.25**3896503.06*360*0.0*18456440*false *4.7367*0.05*0.0*0.05*0.02*-0.41*0.56*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2012 T1*2012-01-01*2012-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.29*0.23**3887848.34*355*0.0*18492160*false *4.7564*0.02*0.0*0.02*0.01*0.73*0.26*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2011 S2*2011-07-01*2011-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.54*0.94**3941094.07*365*0.0*18610338*false *4.7221*0.05*0.0*0.05*0.02*0.42*0.52*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2013 S2*2013-07-01*2013-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.26*0.0**2685351.04*251*0.0*12874778*false*4.7944*0.05*0.0*0.05*0.02*-0.02*0.1*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
