fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Semester 2 2017*2017-07-01*2017-12-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Trimester 3 2018*2018-07-01*2018-09-30*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.8*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Trimester 3 2018*2018-07-01*2018-09-30*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.8*0.0**1101.7*3*0.0*103626*false*94.0605*0.2*0.0*0.2*0.03*-1.56*2.4*1.4*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Semester 1 2018*2018-01-01*2018-06-30*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Semester 1 2018*2018-01-01*2018-06-30*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**1049.86*3*0.0*100315*false*95.5508*0.4*0.0*0.4*0.05*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Trimester 1 2018*2018-01-01*2018-03-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Trimester 1 2018*2018-01-01*2018-03-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**1049.86*3*0.0*99000*false*94.5322*0.2*0.0*0.2*0.02*-2.85*5.44*0.94*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Semester 2 2017*2017-07-01*2017-12-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Semester 2 2017*2017-07-01*2017-12-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**1152.08*4*0.0*112109*false*97.3101*0.34*0.67*0.34*0.04*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I, FI*04869210*Semester 2 2019*2019-07-01*2019-12-31*5206*infogestora@esferacapital.es*A3*7 (En una escala del 1 al 7)*0.15*0.0**65697.78*181*0.0*7170191*false*109.139*0.61*0.0*0.61*0.05*5.64*9.61*0.34*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Trimester 3 2019*2019-07-01*2019-09-30*5206*infogestora@esferacapital.es*A2*4 (En una escala del 1 al 7)*0.04*0.0**64360.9*172*0.0*6649196*false*103.3111*0.3*0.0*0.3*0.03*0.39*10.96*0.98*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
