fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2009*2009-07-01*2009-12-31*2227*informesfondos@gruposantander.com*Aa2*Medio*0.0*0.2**1109755.48*2492*0.0*71218264*false*64.1747***0.66*0.05*0.56*1.61*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 3 2009*2009-07-01*2009-09-30*2227*comsanassetm@gruposantander.com*Aa2*Medio*0.61*0.19**1028823.57*2510*0.0*65659000*false*63.8196***0.33*0.03*2.51*1.69*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 1 2009*2009-01-01*2009-06-30*2227*comsanassetm@gruposantander.com*Aa1*Medio*0.26*1.05**1100861.46*2682*0.0*68537000*false*62.2573***0.65*0.05*0.15*1.37*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2010*2010-07-01*2010-12-31*2227*informesfondos@gruposantander.com*Aa2*Medio*0.3*0.38**1499605.38*2565*0.0*97818794*false*65.2297***0.65*0.05*0.41*2.1*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 3 2010*2010-07-01*2010-09-30*2227*informesfondos@gruposantander.com*Aa2*Medio*0.2*0.28**1376901.9*2603*0.0*89445720*false*64.9616***0.33*0.03*0.73*1.58*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 1 2010*2010-01-01*2010-06-30*2227*informesfondos@gruposantander.com*Aa2*Medio*0.43*0.26**1362196.9*2561*0.0*87849116*false*64.4908***0.64*0.05*-1.26*2.88*0.41*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 1 2010*2010-01-01*2010-03-31*2227*informesfondos@gruposantander.com*Aa2*Medio*0.49*0.21**1171696.37*2490*0.0*76527049*false*65.313***0.32*0.02*1.77*1.73*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 3 2011*2011-07-01*2011-09-30*2227*informesfondos@gruposantander.com*Aa2*Medio*0.0*0.52**1185709.19*2187*0.0*76385634*false*64.4219***0.33*0.03*-1.4*3.04*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 1 2011*2011-01-01*2011-06-30*2227*informesfondos@gruposantander.com*Aa2*Medio*0.91*0.57**1295767.02*2316*0.0*84659720*false*65.3356***0.65*0.05*-0.2*2.39*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 1 2011*2011-01-01*2011-03-31*2227*informesfondos@gruposantander.com*Aa2*Medio*0.05*0.34**1422390.48*2469*0.0*93121224*false*65.4681***0.32*0.02*0.37*2.16*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2010*2010-07-01*2010-12-31*2227*informesfondos@gruposantander.com*Aa2*Medio*0.3*0.38**1499605.38*2565*0.0*97818794*false*65.2297***0.65*0.05*0.41*2.1*0.43*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 3 2012*2012-07-01*2012-09-30*2227*informesfondos@gruposantander.com*Baa2*Medio*0.0*0.14**910673.31*1820*0.0*60902138*false*66.8759*0.33**0.33*0.03*1.68*2.07*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 1 2012*2012-01-01*2012-06-30*2227*informesfondos@gruposantander.com*Baa2*Medio*0.32*0.29**943586.22*1888*0.0*62060212*false*65.7706*0.65**0.65*0.05*-1.43*2.05*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 1 2012*2012-01-01*2012-03-31*2227*informesfondos@gruposantander.com*Aa3*Medio*0.3*0.33**996843.12*1974*0.0*66516424*false*66.7271*0.32**0.32*0.02*2.74*1.87*0.42*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2011*2011-07-01*2011-12-31*2227*informesfondos@gruposantander.com*Aa3*Medio*0.12*0.39**1075425.21*2061*0.0*69844679*false*64.9461*0.66**0.66*0.05*0.81*2.62*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2013*2013-07-01*2013-12-31*2227*informesfondos@gruposantander.com*Baa2*Medio*1.42*0.11**777394.47*1573*0.0*53268858*false*68.5223*0.66**0.66*0.05*0.18*1.39*0.42*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
