fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LIBERBANK GLOBAL MACRO FI*CLASE A GLOBAL MACRO FI*88316393*Trimester 3 2019*2019-07-01*2019-09-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*19.72*-1.51**3977204.89*2012*0.0*23887955*false*6.0062*0.27*[]*0.27*0.01*-0.84*3.73*0.39*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE A GLOBAL MACRO FI*88316393*Semester 1 2019*2019-01-01*2019-06-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*0.0**19226.89*9*0.0*116463*false*6.0573*0.0*[]*0.0*0.0*[]*[]*[]*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE P GLOBAL MACRO FI*88316393*Semester 1 2019*2019-01-01*2019-06-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*0.0**50000.0*1*0.0*302714*false*6.0543*0.06*[]*0.06*0.0*[]*[]*[]*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE A GLOBAL MACRO FI*88316393*Semester 2 2020*2020-07-01*2020-12-31*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.46**3294100.03*1668*0.0*20561778*false*6.242*0.55*[]*0.55*0.03*[]*[]*[]*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE P GLOBAL MACRO FI*88316393*Semester 2 2020*2020-07-01*2020-12-31*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.46**3643085.74*407*0.0*22881779*false*6.2809*0.33*[]*0.33*0.03*[]*[]*[]*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE A GLOBAL MACRO FI*88316393*Trimester 3 2020*2020-07-01*2020-09-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.46**3246857.65*1652*0.0*19644336*false*6.0503*0.28*[]*0.28*0.01*0.99*3.36*0.47*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE P GLOBAL MACRO FI*88316393*Trimester 3 2020*2020-07-01*2020-09-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.46**3718679.61*407*0.0*22613518*false*6.0811*0.16*[]*0.16*0.01*1.11*3.34*0.35*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE A GLOBAL MACRO FI*88316393*Semester 1 2020*2020-01-01*2020-06-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.44**3267702.9*1680*0.0*19575867*false*5.9907*0.55*[]*0.55*0.02*[]*[]*[]*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE P GLOBAL MACRO FI*88316393*Semester 1 2020*2020-01-01*2020-06-30*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.44**3847696.93*410*0.0*23141596*false*6.0144*0.32*[]*0.32*0.02*[]*[]*[]*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE A GLOBAL MACRO FI*88316393*Trimester 1 2020*2020-01-01*2020-03-31*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.44**3236589.93*1660*0.0*19420790*false*6.0004*0.27*[]*0.27*0.01*1.6*5.01*0.46*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
LIBERBANK GLOBAL MACRO FI*CLASE P GLOBAL MACRO FI*88316393*Trimester 1 2020*2020-01-01*2020-03-31*5366*info@liberbank.es*BBB+(Standard  Poor s)*4, en una escala del 1 al 7*0.0*-0.44**3778398.14*407*0.0*22736050*false*6.0174*0.16*[]*0.16*0.01*1.72*5.01*0.35*LIBERBANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
