fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2009*2009-07-01*2009-09-30*1543*RAMIRO.PINERA@DB.COM*Aa1*2/5*0.08*0.24**1545128.41*142*0.0*12346405*false*7.9905***0.3*0.0*3.27*1.68*0.31*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2009*2009-01-01*2009-06-30*1543*RAMIRO.PINERA@DB.COM*Aa1*2/5*0.35*0.9**1547658.64*142*0.0*11974851*false*7.7374***0.33*0.0*1.97*1.54*0.23*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2010*2010-07-01*2010-12-31*1543*DWS.ES@DB.COM*Aa1*2/5*0.21*0.42**1515914.64*122*0.0*12406554*false*8.1842***0.2*0.0*-0.6*2.14*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2010*2010-07-01*2010-09-30*1543*DWS.ES@DB.COM*Aa1*2/5*0.08*0.34**1539292.06*117*0.0*12674256*false*8.2338***0.1*0.0*1.94*2.17*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2010*2010-01-01*2010-06-30*1543*DWS.ES@DB.COM*Aa1*2/5*0.92*0.24**1540660.93*118*0.0*12444181*false*8.0772***0.2*0.0*-1.65*6.21*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2010*2010-01-01*2010-03-31*1543*DWS.ES@DB.COM*Aa1*2/5*0.39*0.22**1543345.9*125*0.0*12675052*false*8.2127***0.1*0.0*1.91*2.12*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2011*2011-07-01*2011-09-30*1543*DWS.ES@DB.COM*Aa1*2/5*0.15*0.85**1499461.69*112*0.0*12148723*false*8.1021***0.03*0.0*-2.17*4.03*0.2*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2011*2011-01-01*2011-06-30*1543*DWS.ES@DB.COM*Aa3*2/5*0.39*0.69**1507492.47*113*0.0*12485011*false*8.282***0.27*0.0*0.91*1.78*0.17*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2011*2011-01-01*2011-03-31*1543*DWS.ES@DB.COM*Aa1*2/5*0.27*0.53**1504523.07*116*0.0*12347958*false*8.2072***0.11*0.0*0.28*1.73*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2010*2010-07-01*2010-12-31*1543*DWS.ES@DB.COM*Aa1*2/5*0.21*0.42**1515914.64*122*0.0*12406554*false*8.1842***0.2*0.0*-0.6*2.14*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2012*2012-07-01*2012-12-31*1543*DWS.ES@DB.COM*Aa3*2/5*1.16*0.03**768115.44*105*0.0*6816446*false*8.8742*0.2*0.32*0.52*0.0*2.39*1.32*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2012*2012-07-01*2012-09-30*1543*DWS.ES@DB.COM*Aa3*2/5*0.68*0.03**1440673.16*105*0.0*12485894*false*8.6667*0.1*0.18*0.28*0.0*2.95*2.18*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2012*2012-01-01*2012-06-30*1543*DWS.ES@DB.COM*Aa3*2/5*0.76*0.16**1445731.84*110*0.0*12170939*false*8.4185*0.2*0.15*0.35*0.0*-0.65*2.19*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2012*2012-01-01*2012-03-31*1543*DWS.ES@DB.COM*Aa3*2/5*0.25*0.17**1445008.44*107*0.0*12244889*false*8.4739*0.1*0.19*0.29*0.0*3.25*1.92*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2013*2013-07-01*2013-12-31*1543*DWS.ES@DB.COM*Aa3*2/7*1.14*0.38**2258626.84*121*0.0*20750451*false*9.1872*0.2*0.15*0.35*0.0*1.62*1.76*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2013*2013-07-01*2013-09-30*1543*DWS.ES@DB.COM*Aa3*2/5*0.03*0.38**2254276.43*116*0.0*20380560*false*9.0408*0.1*0.05*0.15*0.0*1.2*2.15*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2013*2013-01-01*2013-06-30*1543*DWS.ES@DB.COM*Aa3*2/5*0.91*0.26**769428.77*112*0.0*6873614*false*8.9334*0.2*0.04*0.24*0.0*-0.57*3.45*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2013*2013-01-01*2013-03-31*1543*DWS.ES@DB.COM*Aa3*2/5*0.45*0.13**770681.69*113*0.0*6923949*false*8.9842*0.1*0.07*0.17*0.0*1.24*1.51*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2014*2014-07-01*2014-09-30*1543*DWS.ES@DB.COM*Aa3*3/7*0.14*0.47**2267034.03*131*0.0*21422732*false*9.4497*0.1*0.04*0.14*0.0*0.66*1.87*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2014*2014-01-01*2014-06-30*1543*DWS.ES@DB.COM*Aa3*3/7*1.33*0.45**2268107.06*129*0.0*21292279*false*9.3877*0.2*0.13*0.33*0.0*0.89*1.62*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2014*2014-01-01*2014-03-31*1543*DWS.ES@DB.COM*Aa3*2/7*0.56*0.44**2257001.5*123*0.0*21001864*false*9.3052*0.1*0.08*0.18*0.0*1.28*2.11*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2013*2013-07-01*2013-12-31*1543*DWS.ES@DB.COM*Aa3*2/7*1.14*0.38**2258626.84*121*0.0*20750451*false*9.1872*0.2*0.15*0.35*0.0*1.62*1.76*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2015*2015-07-01*2015-12-31*1543*DWS.ES@DB.COM*Aa3*3/7*2.25*0.05**2615029.53*145*0.0*25672668*false*9.8174*0.2*0.08*0.28*0.03*1.76*3.4*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2015*2015-07-01*2015-09-30*1543*DWS.ES@DB.COM*Aa3*3/7*1.18*0.1**2596434.63*135*0.0*25049969*false*9.6478*0.1*-0.03*0.07*0.01*-0.29*4.56*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2015*2015-01-01*2015-06-30*1543*DWS.ES@DB.COM*Aa3*3/7*1.51*0.18**2285999.35*136*0.0*22118987*false*9.6759*0.2*0.08*0.28*0.02*-3.07*5.35*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
