fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 3 2015*2015-07-01*2015-09-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.0*-0.1**12130623.33*151*0.0*11107276*false*0.9156*0.37**0.37*0.02****A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 2 2016*2016-07-01*2016-12-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.06*-0.17**12875465.66*160*0.0*12966657*false*1.0071*0.75**0.75*0.05*3.8*7.37*0.5*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 3 2016*2016-07-01*2016-09-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.06*-0.19**12880583.07*158*0.0*12497124*false*0.9702*0.38**0.38*0.03*3.61*6.76*0.39*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 1 2016*2016-01-01*2016-06-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.0*-0.12**12896948.14*160*0.0*12076920*false*0.9364*0.75**0.75*0.05*0.35*11.52*0.55*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 1 2016*2016-01-01*2016-03-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.0*-0.13**12532883.19*157*0.0*11695118*false*0.9332*0.37**0.37*0.02*-4.68*18.17*0.56*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 2 2017*2017-07-01*2017-12-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.25*-0.15**14167862.94*176*0.0*15196216*false*1.0726*0.76**0.76*0.05*2.1*5.45*0.56*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 3 2017*2017-07-01*2017-09-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.0*-0.14**14112560.15*171*0.0*14825695*false*1.0505*0.38**0.38*0.03*1.31*6.39*0.56*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 1 2017*2017-01-01*2017-06-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.34*-0.11**14078648.5*170*0.0*14598512*false*1.0369*0.74**0.74*0.05*-1.16*5.25*0.47*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 1 2017*2017-01-01*2017-03-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.3*-0.1**12977634.13*166*0.0*13614621*false*1.0491*0.37**0.37*0.02*4.17*6.1*0.55*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 2 2018*2018-07-01*2018-12-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.68*-0.12**13441996.52*179*0.0*13361776*false*0.994*0.76**0.76*0.05*-10.01*12.33*0.35*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 3 2018*2018-07-01*2018-09-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.0*-0.11**13876209.98*180*0.0*15327920*false*1.1046*0.38**0.38*0.03*2.06*5.05*0.55*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 1 2018*2018-01-01*2018-06-30*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.15*-0.13**14456800.58*181*0.0*15647599*false*1.0824*0.74**0.74*0.05*3.7*7.01*0.51*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Trimester 1 2018*2018-01-01*2018-03-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.06*-0.15**14335304.41*178*0.0*14962781*false*1.0438*0.37**0.37*0.02*-2.69*9.89*0.54*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
GREDOS BOLSA INTERNACIONAL, FI*GREDOS BOLSA INTERNACIONAL, FI*87296612*Semester 2 2019*2019-07-01*2019-12-31*4883*jaime.armijo@ayg.es*Baa1*5 en una escala del 1 al 7.*0.12*-0.44**15166249.93*188*0.0*17993990*false*1.1864*0.75**0.75*0.05*4.26*7.24*0.52*A&G FONDOS, SGIIC, SA*CACEIS BANK SPAIN S.A.*ES0143221002
