fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2009*2009-07-01*2009-12-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.3*0.4**5944.15*120*0.0*4302887*false*723.886***0.76*0.0*1.14*2.16*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2009*2009-07-01*2009-09-30*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.16*0.41**6023.54*90*0.0*4311087*false*715.706***0.38*0.0*2.37*2.25*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2009*2009-01-01*2009-06-30*788*atencion.cliente.gescooperativo@cajarural.com*A*Medio / Alto*0.36*1.0**7300.08*94*0.0*5103909*false*699.1582***0.74*0.0*0.54*3.39*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2010*2010-07-01*2010-12-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.14*0.53**8104.13*151*0.0*5920507*false*730.5538***0.76*0.0*0.65*2.17*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2010*2010-07-01*2010-09-30*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.02*0.45**8109.2*151*0.0*5886141*false*725.8598***0.38*0.0*0.45*2.96*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2010*2010-01-01*2010-06-30*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.34**8865.6*163*0.0*6406245*false*722.5957***0.74*0.0*-1.23*3.75*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2010*2010-01-01*2010-03-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.07*0.31**8692.46*150*0.0*6359133*false*731.5691***0.37*0.0*1.06*2.21*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2011*2011-07-01*2011-12-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.82**6550.9*135*0.0*4916519*false*750.5108*0.76**0.76*0.0*3.04*3.95*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2011*2011-07-01*2011-09-30*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.99**7516.59*141*0.0*5474860*false*728.3703***0.38*0.0*0.16*3.85*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2011*2011-01-01*2011-06-30*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.39*0.81**7673.06*145*0.0*5579778*false*727.1903***0.74*0.0*-0.57*2.19*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2011*2011-01-01*2011-03-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.23*0.63**7827.83*152*0.0*5725097*false*731.3768***0.37*0.0*0.11*2.5*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2012*2012-07-01*2012-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*4 en una escala de 1 a 7*0.19*0.11**7231.8*141*0.0*5612818*false*776.1298*0.74**0.74*0.05*-0.58*2.33*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2012*2012-07-01*2012-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*4 en una escala de 1 a 7*0.03*0.12**7160.61*136*0.0*5589757*false*780.626*0.37**0.37*0.03*1.98*3.63*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2012*2012-01-01*2012-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba1  (MOODY'S)*4 en una escala de 1 a 7*0.04*0.26**7178.1*137*0.0*5494843*false*765.5014*0.74**0.74*0.01***0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2012*2012-01-01*2012-03-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.0*0.27**7209.56*138*0.0*5548281*false*769.5727*0.37**0.37*0.0*2.54*2.54*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
