fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2009*2009-07-01*2009-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.7*0.27**285057.57*102*0.0*3456360*false*12.1251***0.34*0.05*-0.26*16.24*0.24*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2009*2009-07-01*2009-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.01*0.29**288266.11*99*0.0*3504257*false*12.1563***0.17*0.03*15.18*16.1*0.22*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2009*2009-01-01*2009-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.69*0.7**288324.74*99*0.0*3043023*false*10.5542***0.35*0.05*24.06*28.67*0.25*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2010*2010-07-01*2010-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.41*0.11**54026.53*110*0.0*626392*false*11.5942***0.35*0.05*2.79*15.49*0.31*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2010*2010-07-01*2010-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.25*0.13**55016.3*111*0.0*620542*false*11.2792***0.18*0.03*5.79*18.31*0.36*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2010*2010-01-01*2010-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.13**55001.3*95*0.0*586425*false*10.662***0.34*0.05*-12.61*26.26*0.31*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2010*2010-01-01*2010-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.73*0.04**260654.31*101*0.0*3180139*false*12.2006***0.17*0.02*0.62*15.88*0.24*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2011*2011-07-01*2011-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.5*0.98**2019875.43*106*0.0*25181186*false*12.4667***0.08*0.03****UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2011*2011-01-01*2011-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.09*0.79**2020537.28*108*0.0*25099563*false*12.4222***0.13*0.04****UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2011*2011-01-01*2011-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.6**2020538.37*109*0.0*24981470*false*12.3638***0.06*0.02****UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2010*2010-07-01*2010-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.41*0.11**54026.53*110*0.0*626392*false*11.5942***0.35*0.05*2.79*15.49*0.31*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2012*2012-07-01*2012-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.05*0.09**2173348.22*100*0.0*28450913*false*13.0908*0.15**0.15*0.05*1.69*0.66*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
