fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2009*2009-07-01*2009-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.16*0.67****0.0**false****0.44*0.05*8.38*9.41*0.49*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2009*2009-01-01*2009-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.0*2.01****0.0**false****0.87*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2010*2010-07-01*2010-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.1*0.0****0.0**false****0.88*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2010*2010-07-01*2010-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.12*0.42****0.0**false****0.44*0.05*1.56*10.88*0.5*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2010*2010-01-01*2010-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.54*0.37****0.0**false****0.87*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2010*2010-01-01*2010-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.44*0.4****0.0**false****0.43*0.05*6.6*8.68*0.49*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2011*2011-07-01*2011-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.07*1.31**4221345.55*1284*0.0*19632000*false*4.6507***0.44*0.05*-10.34*18.77*0.5*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2011*2011-01-01*2011-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.07*0.88****0.0**false****0.87*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2011*2011-01-01*2011-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.01*0.79****0.0**false****0.43*0.05*-1.84*10.06*0.48*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2010*2010-07-01*2010-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.1*0.0****0.0**false****0.88*0.1****MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2012*2012-07-01*2012-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.0*0.3**3927273.97*1149*0.0*21997000*false*5.601*0.44**0.44*0.05*4.11*8.01*0.69*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2012*2012-01-01*2012-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.26*0.78**3929921.81*1144*0.0*21140000*false*5.3794*0.87**0.87*0.1*-2.0*9.02*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2012*2012-01-01*2012-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.14*1.05**3953107.28*1171*0.0*21701000*false*5.4897*0.44**0.44*0.05*8.35*7.81*0.68*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2011*2011-07-01*2011-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.14*0.0**3984802.23*1207*0.0*20188000*false*5.0662*0.88**0.88*0.1*8.93*13.99*0.69*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2013*2013-07-01*2013-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*6 en escala de 1 a 7*0.38*0.0**5236972.16*1330*0.0*34697000*false*6.6254*0.88**0.88*0.1*4.35*6.33*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2013*2013-07-01*2013-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.19*0.11**4818393.85*1280*0.0*30591000*false*6.3488*0.44**0.44*0.05*4.12*7.32*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2013*2013-01-01*2013-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.24*0.1**5000028.34*1255*0.0*30487000*false*6.0973*0.87**0.87*0.1*-0.87*10.55*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2013*2013-01-01*2013-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.07*0.1**4515517.24*1179*0.0*27776000*false*6.1512*0.43**0.43*0.05*10.04*6.8*0.65*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2014*2014-07-01*2014-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.4*0.0**5442971.79*1429*0.0*41101000*false*7.5512*0.88**0.88*0.1*4.2*13.67*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2014*2014-07-01*2014-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.19*0.0**5221522.9*1318*0.0*37838000*false*7.2465*0.44**0.44*0.05*4.89*7.38*0.66*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2014*2014-01-01*2014-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.23*0.13**5388829.46*1289*0.0*37227000*false*6.9081*0.87**0.87*0.1*4.09*6.95*0.65*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2014*2014-01-01*2014-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.14*0.18**5463035.78*1333*0.0*36255000*false*6.6365*0.43**0.43*0.05*0.16*8.87*0.64*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2015*2015-07-01*2015-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.1*0.0**7117529.19*2409*0.0*58546000*false*8.2256*0.88**0.88*0.1*7.68*14.93*0.66*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2015*2015-07-01*2015-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.02*0.0**6829390.84*2272*0.0*52166000*false*7.6384*0.44**0.44*0.05*-8.33*23.84*0.66*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2015*2015-01-01*2015-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.08*0.0**6602112.42*2169*0.0*55017000*false*8.3332*0.87**0.87*0.1*-3.23*12.45*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2015*2015-01-01*2015-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.05*0.0**6010901.96*1768*0.0*51767000*false*8.6121*0.43**0.43*0.05*14.04*10.62*0.65*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2016*2016-07-01*2016-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**7371407.89*2484*0.0*63511000*false*8.6159*0.88**0.88*0.1*5.68*9.89*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2016*2016-07-01*2016-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**6858335.38*2355*0.0*55911000*false*8.1523*0.44**0.44*0.05*4.6*9.1*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 1 2016*2016-01-01*2016-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.35*0.0**6848795.88*2354*0.0*53376000*false*7.7935*0.87**0.87*0.1*1.0*12.4*0.66*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2016*2016-01-01*2016-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.38*0.0**7079524.62*2402*0.0*54627000*false*7.7162*0.44**0.44*0.05*-6.19*20.4*0.65*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 3 2017*2017-07-01*2017-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**16810498.44*4317*0.0*154135000*false*9.169*0.44**0.44*0.05*1.44*7.57*0.7*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 1 2017*2017-01-01*2017-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**17201097.62*4172*0.0*155476000*false*9.0387*0.87**0.87*0.1*-0.63*6.32*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 1 2017*2017-01-01*2017-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**8408010.04*2983*0.0*76482000*false*9.0963*0.43**0.43*0.05*5.57*8.15*0.66*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
