fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2009*2009-07-01*2009-12-31*3936*edm@edm.es*A+  (S&P)*Medio*0.09*0.07**7760229.89*152*0.0*6643398*false*0.8561***0.88*0.05*0.13*10.56*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2009*2009-07-01*2009-09-30*3936*edm@edm.es*A+  (S&P)*Medio*0.07*0.13**7016751.17*138*0.0*5999020*false*0.855***0.44*0.03*12.84*11.28*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2009*2009-01-01*2009-06-30*3936*edm@edm.es*A+  (S&P)*Medio*0.0*0.63**6712401.67*130*0.0*5085908*false*0.7577***0.87*0.05*19.01*16.49*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2010*2010-07-01*2010-12-31*3936*edm@edm.es*A+  (S&P)*Medio*0.07*0.25**8244259.58*149*0.0*6612561*false*0.8021***0.88*0.05*0.14*14.18*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2010*2010-07-01*2010-09-30*3936*edm@edm.es*A+  (S&P)*Medio*0.06*0.17**8568024.71*155*0.0*6862592*false*0.801***0.44*0.03*9.23*16.15*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2010*2010-01-01*2010-06-30*3936*edm@edm.es*A+  (S&P)*Medio*0.23*0.01**8653123.18*159*0.0*6345126*false*0.7333***0.87*0.05*-12.68*27.51*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2010*2010-01-01*2010-03-31*3936*edm@edm.es*A+  (S&P)*Medio*0.0*0.0**8877564.69*161*0.0*7455329*false*0.8398***0.43*0.02*-1.9*11.66*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2011*2011-07-01*2011-12-31*3936*edm@edm.es*A+  (S&P)*Medio*0.11*0.0**8209176.65*143*0.0*6199761*false*0.7552*0.88**0.88*0.05*0.84*23.89*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2011*2011-07-01*2011-09-30*3936*edm@edm.es*A+  (S&P)*Medio*0.01*0.0**8287478.94*150*0.0*6207042*false*0.749***0.44*0.03*-14.69*28.06*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2011*2011-01-01*2011-06-30*3936*edm@edm.es*A+  (S&P)*Medio*0.25*0.0**8199838.62*148*0.0*7199023*false*0.8779***0.87*0.05*0.35*13.73*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2011*2011-01-01*2011-03-31*3936*edm@edm.es*A+  (S&P)*Medio*0.1*0.0**8223980.31*149*0.0*7194999*false*0.8749***0.43*0.02*9.08*14.1*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
