fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2009*2009-07-01*2009-12-31*3669*fondos@segurosbilbao.com*ND*Medio*0.09*0.28**855980.5*745*0.0*18320119*false*21.4025***0.3*0.04*0.08*0.1*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2009*2009-07-01*2009-09-30*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.26**831990.07*665*0.0*17792838*false*21.3859***0.15*0.02***0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Dinero, FI*78408622*Semester 1 2009*2009-01-01*2009-06-30*3669*fondos@segurosbilbao.com*ND*Conservador*0.0*0.98**846797.45*649*0.0*18075370*false*21.3456***0.3*0.04*0.41*0.28*0.17*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2010*2010-07-01*2010-12-31*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.49**705150.62*531*0.0*15034269*false*21.3206***0.3*0.04*-0.02*0.37*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2010*2010-07-01*2010-09-30*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.4**748131.89*582*0.0*15953164*false*21.324***0.15*0.02*0.41*0.35*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2010*2010-01-01*2010-06-30*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.33**768279.41*637*0.0*16315150*false*21.236***0.3*0.04*-0.91*0.98*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2010*2010-01-01*2010-03-31*3669*fondos@segurosbilbao.com*ND*Medio*0.18*0.3**726981.97*701*0.0*15579758*false*21.4307***0.15*0.02*0.13*0.19*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2011*2011-07-01*2011-09-30*3669*fondos@segurosbilbao.com*ND*Medio*0.11*1.01**573004.2*424*0.0*12320957*false*21.5024***0.15*0.02*0.11*0.39*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2011*2011-01-01*2011-06-30*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.79**587220.16*455*0.0*12613301*false*21.4797***0.3*0.04***0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2011*2011-01-01*2011-03-31*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.58**601036.27*480*0.0*12876645*false*21.4241***0.15*0.02*0.49*0.35*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2010*2010-07-01*2010-12-31*3669*fondos@segurosbilbao.com*ND*Medio*0.0*0.49**705150.62*531*0.0*15034269*false*21.3206***0.3*0.04*-0.02*0.37*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
