fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2009 T3*2009-07-01*2009-09-30*840*atencionalcliente@caam.com*Aa3*Conservador*0.0*0.3**91341.27*302*0.0*7053078*false *77.2168***0.25*0.02*-0.16*0.08*0.32*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2009 S1*2009-01-01*2009-06-30*840*atencionalcliente@caam.com*Aa3*Conservador*0.0*1.05**143560.31*418*0.0*11103414*false*77.3432***0.5*0.04*-0.11*0.39*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2010 S2*2010-07-01*2010-12-31*840*atencionalcliente@amundi.com*Aa3*Conservador*0.48*0.55**58760.83*298*0.0*4522816*false *76.9699***0.5*0.04*-0.23*0.43*0.3*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2010 T3*2010-07-01*2010-09-30*840*atencionalcliente@amundi.com*Aa3*Conservador*0.17*0.37**73201.35*353*0.0*5647495*false *77.1502***0.25*0.02*0.71*0.36*0.3*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2010 S1*2010-01-01*2010-06-30*840*atencionalcliente@amundi.com*Aa3*Conservador*1.57*0.24**82400.3*389*0.0*6312384*false *76.6063***0.49*0.04*-1.05*1.34*0.3*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2010 T1*2010-01-01*2010-03-31*840*atencionalcliente@caam.com*Aa3*Conservador*1.04*0.2**49022.24*222*0.0*3795454*false *77.4231***0.25*0.02*0.47*0.48*0.3*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2011 S2*2011-07-01*2011-12-31*840*atencionalcliente@amundi.com*Aa3*Conservador*0.0*1.0**233720.56*557*0.0*18182448*false *77.7957*0.5*0.0*0.5*0.04*0.62*0.51*0.29*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2011 T3*2011-07-01*2011-09-30*840*atencionalcliente@amundi.com*Aa3*Conservador*0.0*1.01**70110.72*247*0.0*5420569*false *77.3144***0.25*0.02*-0.17*0.51*0.29*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2011 S1*2011-01-01*2011-06-30*840*atencionalcliente@amundi.com*Aa3*Conservador*0.15*0.84**31672.73*188*0.0*2452816*false *77.4425***0.5*0.04*0.31*0.15*0.3*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2011 T1*2011-01-01*2011-03-31*840*atencionalcliente@amundi.com*Aa3*Conservador*0.13*0.75**36264.15*214*0.0*2799641*false *77.2014***0.25*0.02*0.3*0.27*0.29*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2012 S2*2012-07-01*2012-12-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.0*0.83**291852.52*730*0.0*23403255*false*80.1886*0.5*0.0*0.5*0.04*0.63*0.13*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MACHA*81605214*2012 T3*2012-07-01*2012-09-30*840*atencionalcliente@amundi.com*Aa3*2 en una escala del 1 al 7*0.5*-0.39**277069.54*717*0.0*22077951*false *79.6838*0.25*0.0*0.25*0.02*1.02*1.22*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MACHA*81605214*2012 S1*2012-01-01*2012-06-30*840*atencionalcliente@amundi.com*Aa3*2 en una escala del 1 al 7*0.15*1.23**268185.79*713*0.0*21154100*false *78.8785*0.5*0.0*0.5*0.04*0.45*0.36*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2012 T1*2012-01-01*2012-03-31*840*atencionalcliente@amundi.com*Aa3*2 en una escala del 1 al 7*0.08*1.98**247965.95*632*0.0*19470937*false *78.5226*0.25*0.0*0.25*0.02*0.93*0.21*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2013 T3*2013-07-01*2013-09-30*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.0*0.03**408473.56*998*0.0*33230771*false*81.3535*0.25*0.0*0.25*0.02*0.42*1.26*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2013 S1*2013-01-01*2013-06-30*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.0*0.0**414195.33*1003*0.0*33556010*false*81.0149*0.5*0.0*0.5*0.04*0.49*0.01*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2013 T1*2013-01-01*2013-03-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.0*0.06**404113.56*972*0.0*32580581*false*80.6223*0.25*0.0*0.25*0.02*0.54*0.04*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2012 S2*2012-07-01*2012-12-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.0*0.83**291852.52*730*0.0*23403255*false*80.1886*0.5*0.0*0.5*0.04*0.63*0.13*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
