fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Semester 2 2016*2016-07-01*2016-12-31*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.11**3748759.06*124*0.0*37039491*false*9.8805*0.03*0.0*0.03*0.0*0.08*0.12*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Trimester 3 2016*2016-07-01*2016-09-30*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.19**3324611.15*108*0.0*32821029*false*9.8721*0.01*0.0*0.01*0.0*0.09*0.14*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Semester 1 2016*2016-01-01*2016-06-30*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.06**2765015.97*107*0.0*27273162*false*9.8637*0.02*0.0*0.02*0.0*-0.17*0.23*0.03*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Trimester 1 2016*2016-01-01*2016-03-31*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.24*0.01**564428.59*41*0.0*5577069*false*9.8809*0.01*0.0*0.01*0.0*-0.11*0.04*0.04*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Semester 2 2017*2017-07-01*2017-12-31*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.06**3419144.04*146*0.0*33779692*false*9.8796*0.03*0.0*0.03*0.0*-0.06*0.04*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Trimester 3 2017*2017-07-01*2017-09-30*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.04**3606013.74*145*0.0*35645573*false*9.885*0.01*0.0*0.01*0.0*0.01*0.06*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Semester 1 2017*2017-01-01*2017-06-30*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.02**3611989.46*144*0.0*35702387*false*9.8844*0.02*0.0*0.02*0.0*0.03*0.08*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Trimester 1 2017*2017-01-01*2017-03-31*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.01**3750015.61*141*0.0*37056929*false*9.8818*0.01*0.0*0.01*0.0*0.01*0.07*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Trimester 3 2018*2018-07-01*2018-09-30*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.39**4887874.67*158*0.0*48121626*false*9.8451*0.01*0.0*0.01*0.0*-0.06*0.11*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Semester 1 2018*2018-01-01*2018-06-30*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.37**3436095.79*122*0.0*33850255*false*9.8514*0.02*0.0*0.02*0.0*-0.18*0.54*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
MARCH RENDIMIENTO, FI*MARCH MONETARIO F.I.*87419958*Trimester 1 2018*2018-01-01*2018-03-31*4933*info@march-am.com*Baa1 (Moody's)*1, en una escala del 1 al 7*0.0*-0.34**3642066.31*128*0.0*35943205*false*9.8689*0.01*0.0*0.01*0.0*-0.11*0.05*0.02*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160873008
