fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, FI*83198903*2009 S2*2009-07-01*2009-12-31*2549*informacion@ingdirect.es*n.d.*MUY ALTO*0.0*0.25**13616002.18*23311*0.0*196185735*false*14.4085***0.5*0.05*2.84*25.15*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FN IBEX 35, FI*83198903*2009 T3*2009-07-01*2009-09-30*2549*informacion@ingdirect.es*n.d.*MUY ALTO*0.0*0.23**13627877.32*23160*0.0*190934437*false*14.0106***0.25*0.03*21.05*37.94*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FN IBEX 35, FI*83198903*2009 S1*2009-01-01*2009-06-30*2549*informacion@ingdirect.es*n.d.*MUY ALTO*0.0*0.77**12674088.91*22201*0.0*146694528*false*11.5744***0.49*0.05*27.26*40.47*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FN IBEX 35, FI*83198903*2010 S2*2010-07-01*2010-12-31*2549*informacion@ingdirect.es*n.d.*Muy Alto*0.0*0.45**14131173.72*22845*0.0*175219922*false*12.3995***0.5*0.05*-4.82*29.95*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FN IBEX 35, FI*83198903*2010 T3*2010-07-01*2010-09-30*2549*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*n.d.*Muy Alto*0.0*0.35**13993791.41*23107*0.0*182300418*false*13.0272***0.25*0.03*14.27*29.63*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FN IBEX 35, FI*83198903*2010 S1*2010-01-01*2010-06-30*2549*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*n.d.*Muy Alto*0.0*0.29**14342518.85*23731*0.0*163509918*false*11.4004***0.49*0.05*-13.17*29.03*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, FI*83198903*2010 T1*2010-01-01*2010-03-31*2549*informacion@ingdirect.es*n.d.*MUY ALTO*0.0*0.23**14220774.18*23657*0.0*186711858*false*13.1295***0.24*0.02*-8.88*22.06*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, FI*83198903*2011 S2*2011-07-01*2011-12-31*2549*informacion@ingdirect.es*n.d.*Muy Alto*0.0*0.9**14327068.36*22126*0.0*162494726*false*11.3418*0.5*0.0*0.5*0.05*1.72*28.26*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, FI*83198903*2011 T3*2011-07-01*2011-09-30*2549*informacion@ingdirect.es*n.d.*Muy Alto*0.0*0.94**14376540.29*22473*0.0*160305229*false*11.1505***0.25*0.03*-16.51*26.19*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, FI*83198903*2011 S1*2011-01-01*2011-06-30*2549*informacion@ingdirect.es*n.d.*Muy Alto*0.0*0.71**13483298.49*21936*0.0*180078645*false*13.3557***0.49*0.05*-0.43*20.98*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FN IBEX 35, FI*83198903*2011 T1*2011-01-01*2011-03-31*2549*informacion@ingdirect.es*n.d.*Muy Alto*0.0*0.53**13330048.61*21890*0.0*178805115*false*13.4137***0.24*0.02*8.18*29.57*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
