fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 3 2016*2016-07-01*2016-09-30*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.06*-0.4**146790.303556*12*0.0*1443967*false*9.8369*0.34*0.0*0.34*0.02*2.08*7.0*0.37*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Semester 1 2016*2016-01-01*2016-06-30*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.85*0.08**84011.512275*8*0.0*809600*false*9.6368*0.64*0.0*0.64*0.04*-2.53*9.44*0.39*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 1 2016*2016-01-01*2016-03-31*4941*gestora@renta4.es*A*4, de una escala del 1 al 7*0.13*-0.12**75520.119895*5*0.0*746649*false*9.8868*0.28*0.0*0.28*0.02*-1.13*1.89*1.03*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Semester 2 2017*2017-07-01*2017-12-31*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.0*0.39**304022.256683*111*0.0*3284002*false*10.8018*0.68*0.06*0.74*0.04*0.77*4.74*0.57*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 3 2017*2017-07-01*2017-09-30*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.25*0.4**315330.443415*107*0.0*3380205*false*10.7196*0.34*0.0*0.34*0.02*0.61*5.58*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Semester 1 2017*2017-01-01*2017-06-30*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.23*0.33**281485.98049*67*0.0*2999131*false*10.6546*0.67*0.0*0.67*0.04*-0.11*4.01*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 1 2017*2017-01-01*2017-03-31*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.07*0.3**234708.279907*41*0.0*2503529*false*10.6666*0.33*0.0*0.33*0.02*4.38*4.25*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Semester 2 2018*2018-07-01*2018-12-31*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.31*0.25**312761.084404*99*0.0*2938847*false*9.3965*0.68*0.0*0.68*0.04*-12.06*10.17*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 3 2018*2018-07-01*2018-09-30*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.0*0.25**299420.052485*92*0.0*3199363*false*10.6852*0.35*0.0*0.35*0.02*-0.43*5.1*0.4*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Semester 1 2018*2018-01-01*2018-06-30*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.88*0.25**314052.675968*96*0.0*3370081*false*10.7309*0.67*0.0*0.67*0.04*2.97*6.25*0.41*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 1 2018*2018-01-01*2018-03-31*4941*gestora@renta4.es*A+*4, de una escala del 1 al 7*0.35*0.25**318214.076281*107*0.0*3316401*false*10.4219*0.33*0.0*0.33*0.02*-3.52*7.94*0.39*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
MILLENNIAL FUND, FI*MILLENNIAL FUND FI*87445565*Trimester 3 2019*2019-07-01*2019-09-30*4941*gestora@renta4.es*A+ (S&P)*4*0.58*0.0**279299.47*142*0.0*2944683*false*10.5431*0.34*0.0*0.34*0.02*1.27*5.2*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0162917001
