fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Trimester 3 2017*2017-07-01*2017-09-30*5125*N/D*ND*3 en una escala de 1 a 7*0.33*0.0**1757521.66*487*0.0*18066974*false*10.2798*0.38*0.0*0.38*0.03*1.63*2.82*0.4*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Semester 1 2017*2017-01-01*2017-06-30*5125*N/D*ND*3 en una escala de 1 a 7*0.39*0.0**1240340.26*321*0.0*12546261*false*10.1152*0.6*0.0*0.6*0.04***0.4*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Trimester 1 2017*2017-01-01*2017-03-31*5125*N/D*ND*3 en una escala de 1 a 7*0.0*0.0**471475.24*81*0.0*4736303*false*10.0457*0.21*0.0*0.21*0.01***0.23*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Semester 2 2018*2018-07-01*2018-12-31*5125*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.41*0.16**3344819.67*1005*0.0*32101637*false*9.5974*0.76*0.0*0.76*0.05*-5.16*4.47*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Trimester 3 2018*2018-07-01*2018-09-30*5125*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.15*-0.06**3482763.93*1033*0.0*35245597*false*10.12*0.38*0.0*0.38*0.03*0.76*2.95*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Semester 1 2018*2018-01-01*2018-06-30*5125*N/D*BBB (S&P)*3 en una escala de 1 a 7*1.7*0.05**3468904.16*1022*0.0*34840178*false*10.0436*0.74*0.0*0.74*0.05*-0.09*4.5*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Trimester 1 2018*2018-01-01*2018-03-31*5125*N/D*BBB (S&P)*3 en una escala de 1 a 7*1.21*0.03**3352332.04*981*0.0*33701262*false*10.0531*0.37*0.0*0.37*0.02*-2.21*4.62*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Trimester 3 2019*2019-07-01*2019-09-30*5125*N/D*BBB+ (S&P)*3 en una escala de 1 a 7*0.25*0.65**3526787.38*1098*0.0*35384780*false*10.0331*0.38*0.0*0.38*0.03*1.05*1.48*0.41*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Semester 1 2019*2019-01-01*2019-06-30*5125*N/D*BBB+ (S&P)*3 en una escala de 1 a 7*1.14*0.75**3369915.08*1069*0.0*33461165*false*9.9294*0.74*0.0*0.74*0.05*0.29*1.41*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Trimester 1 2019*2019-01-01*2019-03-31*5125*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.81*0.85**3327322.68*1026*0.0*32941645*false*9.9003*0.37*0.0*0.37*0.02*3.16*2.7*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
TREA CAJAMAR VALOR, FI*TREA CAJAMAR VALOR FI*66935792*Semester 2 2018*2018-07-01*2018-12-31*5125*N/D*BBB (S&P)*3 en una escala de 1 a 7*0.41*0.16**3344819.67*1005*0.0*32101637*false*9.5974*0.76*0.0*0.76*0.05*-5.16*4.47*0.42*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*ES0180552004
