fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME FI*2009 T3*2009-07-01*2009-09-30*MEDIO/ALTO*1.79*0.21**392898.41*204*0.0*4762741*false*12.1221***0.22*0.03***
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME FI*2009 S1*2009-01-01*2009-06-30*MEDIO/ALTO*2.13*0.88**375118.89*205*0.0*4420779*false*11.785***0.49*0.07*0.19*5.48*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2010 S2*2010-07-01*2010-12-31*MUY ALTO*0.86*0.45**955215.66*227*0.0*12045329*false*12.6101***0.67*0.05*1.44*2.42*0.4
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2010 T3*2010-07-01*2010-09-30*MUY ALTO*0.32*0.35**765158.37*220*0.0*9512034*false*12.4315***0.3*0.03*0.53*1.96*0.33
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2010 S1*2010-01-01*2010-06-30*MUY ALTO*2.07*0.27**770802.68*232*0.0*9531914*false*12.3662***0.59*0.05*0.32*3.05*0.31
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2010 T1*2010-01-01*2010-03-31*MUY ALTO*0.95*0.22**688914.9*230*0.0*8491743*false*12.3263***0.33*0.02*1.05*3.89*0.36
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2011 T3*2011-07-01*2011-09-30*MUY ALTO*1.42*1.04**1014345.44*236*0.0*12100268*false*11.9291***0.25*0.03*0.09*2.29*0.29
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2011 S1*2011-01-01*2011-06-30*MUY ALTO*2.18*0.76**1029542.58*241*0.0*12270650*false*11.9185***0.49*0.05*-0.99*2.21*0.28
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2011 T1*2011-01-01*2011-03-31*MUY ALTO*1.5*0.55**1054565.94*242*0.0*12693901*false*12.0371***0.25*0.02*-4.54*5.31*0.28
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2012 S2*2012-07-01*2012-12-31*MUY ALTO*2.14*0.1**676265.34*198*0.0*8189884*false*12.1105*0.5**0.5*0.05*0.01*1.68*0.38
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2012 T3*2012-07-01*2012-09-30*MUY ALTO*1.09*0.13**700638.21*201*0.0*8484419*false*12.1096*0.25**0.25*0.03*1.72*3.72*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2012 S1*2012-01-01*2012-06-30*MUY ALTO*2.21*0.23**703472.1*202*0.0*8374812*false*11.905*0.49**0.49*0.05*0.02*3.0*0.36
