fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2011*2011-01-01*2011-12-31*Muy alto*0.5249999999999999*0.42500000000000004**103225.875*31.0*0.0*1091964.0*False*10.0686***1.0*0.1****False*Y*2011
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2011 T2*2011-01-01*2011-06-30*Muy alto*0.9099999999999999*0.8**104372.73999999999*31.0*0.0*1019795.0*False*10.4062***0.25*0.030000000000000002****False*T*2011
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2011 T4*2011-07-01*2011-12-31*Muy alto*1.01*0.27**114966.25*40.0*0.0*1091964.0*False*10.0686***0.25*0.020000000000000004****False*T*2011
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2012 T2*2012-01-01*2012-06-30*Muy alto*1.95*0.009999999999999981**165566.76*45.0*0.0*1623009.0*False*9.6158*0.25*0.0*0.25*0.030000000000000002****False*T*2012
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2013*2013-01-01*2013-12-31*5 en una escala del 1al 7,*0.425*0.0**294507.845*99.0*0.0*3395831.0*False*11.7441*1.0*0.0*1.0*0.1****False*Y*2013
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2013 T2*2013-01-01*2013-06-30*5 en una escala del 1al 7,*0.8699999999999999*0.0**290047.35*95.0*0.0*3203913.0*False*10.6846*0.25*0.0*0.25*0.030000000000000002****False*T*2013
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2013 T4*2013-07-01*2013-12-31*5 en una escala del 1al 7,*0.5*0.0**274651.7*100.0*0.0*3395831.0*False*11.7441*0.25*0.0*0.25*0.020000000000000004****False*T*2013
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2014*2014-01-01*2014-12-31*5 en una escala del 1al 7,*0.21*0.0**366339.42500000005*114.5*0.0*4973463.0*False*12.4099*1.0*0.0*1.0*0.1****False*Y*2014
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2014 T2*2014-01-01*2014-06-30*5 en una escala del 1al 7,*0.39999999999999997*0.0**370603.54000000004*116.0*0.0*4160141.0*False*12.5339*0.25*0.0*0.25*0.030000000000000002****False*T*2014
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2014 T4*2014-07-01*2014-12-31*5 en una escala del 1al 7,*0.05000000000000002*0.0**456731.36000000004*124.0*0.0*4973463.0*False*12.4099*0.25*0.0*0.25*0.020000000000000004****False*T*2014
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2015*2015-01-01*2015-12-31*5 en una escala del 1al 7,*0.05500000000000001*-0.07500000000000001**471597.32*136.5*0.0*6453675.0*False*13.2042*1.0*0.0*1.0*0.1****False*Y*2015
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2015 T2*2015-01-01*2015-06-30*5 en una escala del 1al 7,*0.08*-0.1**496211.60000000003*136.0*0.0*5995081.0*False*13.1924*0.25*0.0*0.25*0.030000000000000002****False*T*2015
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2015 T4*2015-07-01*2015-12-31*5 en una escala del 1al 7,*0.12000000000000001*-0.11000000000000001**515551.93*155.0*0.0*6453675.0*False*13.2042*0.25*0.0*0.25*0.020000000000000004****False*T*2015
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2016*2016-01-01*2016-12-31*5 en una escala del 1al 7,*0.1*-0.27**531906.4*154.0*0.0*7966037.0*False*14.0119*1.0*0.0*1.0*0.1****False*Y*2016
