fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2009*2009-01-01*2009-12-31*Medio alto*2.765*0.585**2782820.175*8348.5*0.0*133904789.0*False*49.4279***2.0*0.06****False*Y*2009
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2009 T4*2009-07-01*2009-12-31*Medio alto*2.9699999999999998*0.04**2626610.17*8030.0*0.0*133904789.0*False*49.4279***0.51*0.019999999999999997****False*T*2009
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2010*2010-01-01*2010-12-31*Medio alto*1.01*0.085**2465530.32*7540.0*0.0*105786990.0*False*45.0125***2.0*0.06****False*Y*2010
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2010 T2*2010-01-01*2010-06-30*Medio alto*1.85*0.039999999999999994**2496887.1999999997*7590.0*0.0*112490719.0*False*43.586000000000006***0.5*0.019999999999999997****False*T*2010
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2010 T4*2010-07-01*2010-12-31*Medio alto*1.2000000000000002*0.21000000000000002**2226772.6199999996*6889.0*0.0*105786990.0*False*45.0125***0.51*0.019999999999999997****False*T*2010
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2011 T2*2011-01-01*2011-06-30*Medio alto*1.3199999999999998*0.61**1990043.19*6305.0*0.0*97472160.0*False*46.4712***0.5*0.019999999999999997****False*T*2011
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2012*2012-01-01*2012-12-31*5, de una*1.185*0.13**1591763.375*5220.0*0.0*61806533.0*False*42.6419*2.01*0.0*2.01*0.06****False*Y*2012
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2012 T2*2012-01-01*2012-06-30*5, de una*1.18*0.09**1647817.5*5335.0*0.0*65539249.0*False*37.7945*0.5*0.0*0.5*0.019999999999999997****False*T*2012
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2012 T4*2012-07-01*2012-12-31*5, de una*2.65*0.09000000000000001**1268079.24*4425.0*0.0*61806533.0*False*42.6419*0.51*0.0*0.51*0.019999999999999997****False*T*2012
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2013*2013-01-01*2013-12-31*5, de una escala del 1 al 7*1.415*0.09**1203792.585*4205.5*0.0*58949505.0*False*51.2054*2.0*0.0*2.0*0.06****False*Y*2013
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2013 T2*2013-01-01*2013-06-30*5, de una escala del 1 al 7*2.21*0.09999999999999999**1179958.5*4152.0*0.0*54278736.0*False*43.2035*0.5*0.0*0.5*0.019999999999999997****False*T*2013
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2013 T4*2013-07-01*2013-12-31*5, de una escala del 1 al 7*1.81*0.09**1097088.4100000001*3949.0*0.0*58949505.0*False*51.2054*0.51*0.0*0.51*0.019999999999999997****False*T*2013
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2014*2014-01-01*2014-12-31*5, de una escala del 1 al 7*1.075*0.095**1012380.045*3706.5*0.0*52615303.0*False*53.5945*2.0*0.0*2.0*0.06****False*Y*2014
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2014 T2*2014-01-01*2014-06-30*5, de una escala del 1 al 7*2.36*0.13**1012417.26*3727.0*0.0*57201174.0*False*54.8413*0.5*0.0*0.5*0.019999999999999997****False*T*2014
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2014 T4*2014-07-01*2014-12-31*5, de una escala del 1 al 7*0.9000000000000001*0.039999999999999994**942929.4900000001*3514.0*0.0*52615303.0*False*53.5945*0.51*0.0*0.51*0.019999999999999997****False*T*2014
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2015*2015-01-01*2015-12-31*5, de una escala del 1 al 7*1.69*0.34**734465.4199999999*4531.0*0.0*38072877.0*False*52.9983*2.0*0.0*2.0*0.08****False*Y*2015
