fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2011*2011-01-01*2011-12-31*Alto*0.475*0.615**4447879.52*33.0*0.0*25609792.0*False*5.3142***1.71*0.07****False*Y*2011
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2011 T4*2011-07-01*2011-12-31*Alto*1.3399999999999999*0.77**5440036.13*94.0*0.0*25609792.0*False*5.3142***0.4800000000000001*0.020000000000000004****False*T*2011
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2012*2012-01-01*2012-12-31*Alto*0.7949999999999999*0.14500000000000002**5366489.285*104.0*0.0*28934853.0*False*5.4542*1.35**1.59*0.1****False*Y*2012
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2012 T2*2012-01-01*2012-06-30*Alto*1.3499999999999999*0.24**5538619.68*109.0*0.0*28573479.0*False*5.2642*0.33**0.33*0.030000000000000002****False*T*2012
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2012 T4*2012-07-01*2012-12-31*Alto*0.73*0.05000000000000002**5374382.749999999*101.0*0.0*28934853.0*False*5.4542*0.34*0.15999999999999998*0.5*0.020000000000000004****False*T*2012
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2013*2013-01-01*2013-12-31*Alto*0.26*0.04**5943191.58*108.0*0.0*34495502.0*False*5.6958*1.35*0.38*1.73*0.1****False*Y*2013
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2013 T2*2013-01-01*2013-06-30*Alto*-0.04*0.03**5582218.89*110.0*0.0*32152958.0*False*5.515*0.34*-0.03*0.31*0.030000000000000002****False*T*2013
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2013 T4*2013-07-01*2013-12-31*Alto*0.78*0.07**6072211.970000001*107.0*0.0*34495502.0*False*5.6958*0.34*0.08999999999999997*0.42999999999999994*0.020000000000000004****False*T*2013
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2014 T2*2014-01-01*2014-06-30*muy alto*1.18*0.16999999999999998**6719759.78*150.0*0.0*37691113.0*False*5.8613*0.34*0.05000000000000002*0.39*0.030000000000000002****False*T*2014
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2015*2015-01-01*2015-12-31*muy alto*0.405*0.0**10298325.435*159.0*0.0*83116501.0*False*6.0485*1.35*0.21999999999999997*1.57*0.1****False*Y*2015
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2015 T2*2015-01-01*2015-06-30*muy alto*1.29*0.0**7172722.680000001*155.0*0.0*41872127.0*False*6.1084*0.34*0.08999999999999997*0.43000000000000005*0.030000000000000002****False*T*2015
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2015 T4*2015-07-01*2015-12-31*muy alto*0.0*0.0**15629280.54*193.0*0.0*83116501.0*False*6.0485*0.34*-0.04000000000000001*0.30000000000000004*0.020000000000000004****False*T*2015
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2016*2016-01-01*2016-12-31*medio alto*0.0*0.0**14034609.9*214.5*0.0*96417992.0*False*6.2023*1.35*0.21*1.56*0.1****False*Y*2016
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2016 T2*2016-01-01*2016-06-30*muy alto*-0.05*0.0**11132696.270000001*177.0*0.0*77428959.0*False*6.1826*0.33*0.17*0.5*0.030000000000000002****False*T*2016
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2016 T4*2016-07-01*2016-12-31*medio alto*0.0*0.0**17769010.57*253.0*0.0*96417992.0*False*6.2023*0.34*-0.009999999999999998*0.32999999999999996*0.020000000000000004****False*T*2016
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017*2017-01-01*2017-12-31*medio alto*0.135*0.0**14938765.045*177.5*0.0*87045246.0*False*6.0886*1.35*0.0*1.35*0.1****False*Y*2017
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017 T2*2017-01-01*2017-06-30*medio alto*0.0*0.0**13649556.530000001*154.0*0.0*95773003.0*False*6.1468*0.34**0.34*0.030000000000000002****False*T*2017
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2017 T4*2017-07-01*2017-12-31*medio alto*0.5*0.0**13397782.25*136.0*0.0*87045246.0*False*6.0886*0.34*0.0*0.34*0.020000000000000004****False*T*2017
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2018*2018-01-01*2018-12-31*medio alto*0.29000000000000004*0.0**12898828.66*136.5*0.0*76859797.0*False*6.0416*1.35*0.0*1.35*0.1****False*Y*2018
ATTITUDE OPPORTUNITIES FI*ATTITUDE OPPORTUNITIES FI*2018 T2*2018-01-01*2018-06-30*medio alto*0.54*0.0**12199972.349999998*136.0*0.0*79990406.0*False*6.1174*0.34*0.0*0.34*0.030000000000000002****False*T*2018
