fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009*2009-01-01*2009-12-31*Alto*0.42000000000000004*0.695**934624.215*1048.5*0.0*6075171.0*False*6.1653***1.35*0.2****False*Y*2009
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009 T4*2009-07-01*2009-12-31*Alto*0.52*0.050000000000000044**1061330.38*989.0*0.0*6075171.0*False*6.1653***0.34*0.05****False*T*2009
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010*2010-01-01*2010-12-31*Alto*0.34*0.14**1513431.325*1078.0*0.0*10979842.0*False*6.9153***1.5499999999999998*0.2****False*Y*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T2*2010-01-01*2010-06-30*Alto*0.39000000000000007*0.09**1635488.1999999997*1137.0*0.0*9415537.0*False*6.5426***0.38999999999999996*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T4*2010-07-01*2010-12-31*Alto*0.51*0.29000000000000004**1729782.18*1043.0*0.0*10979842.0*False*6.9153***0.41*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010*2010-01-01*2010-12-31*Alto*0.34*0.14**1513431.325*1078.0*0.0*10979842.0*False*6.9153***1.5499999999999998*0.2****False*Y*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T2*2010-01-01*2010-06-30*Alto*0.39000000000000007*0.09**1635488.1999999997*1137.0*0.0*9415537.0*False*6.5426***0.38999999999999996*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T4*2010-07-01*2010-12-31*Alto*0.51*0.29000000000000004**1729782.18*1043.0*0.0*10979842.0*False*6.9153***0.41*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2011*2011-01-01*2011-12-31*Alto*0.24*0.5549999999999999**1508584.875*967.0*0.0*9995400.0*False*7.0968***1.65*0.2****False*Y*2011
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2011 T2*2011-01-01*2011-06-30*Alto*0.49999999999999994*0.31999999999999995**1571940.04*1011.0*0.0*11322193.0*False*7.037999999999999***0.41*0.05****False*T*2011
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2011 T4*2011-07-01*2011-12-31*Alto*0.24*0.81**1211609.69*846.0*0.0*9995400.0*False*7.0968***0.41*0.05****False*T*2011
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2011*2011-01-01*2011-12-31*Alto*0.24*0.5549999999999999**1508584.875*967.0*0.0*9995400.0*False*7.0968***1.65*0.2****False*Y*2011
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2011 T2*2011-01-01*2011-06-30*Alto*0.49999999999999994*0.31999999999999995**1571940.04*1011.0*0.0*11322193.0*False*7.037999999999999***0.41*0.05****False*T*2011
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2011 T4*2011-07-01*2011-12-31*Alto*0.24*0.81**1211609.69*846.0*0.0*9995400.0*False*7.0968***0.41*0.05****False*T*2011
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2012 T2*2012-01-01*2012-06-30*Alto*3.12*0.31000000000000005**927203.4099999999*1017.0*0.0*7879141.0*False*8.1369*0.41*0.0*0.41*0.05****False*T*2012
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2013*2013-01-01*2013-12-31*6 - Alto*3.435*0.09**5612383.725*4419.0*0.0*68618981.0*False*11.1304*1.65*0.0*1.65*0.2****False*Y*2013
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2013 T2*2013-01-01*2013-06-30*6 - Alto*5.68*0.11000000000000001**6682998.199999999*4997.0*0.0*50599854.0*False*10.0005*0.41999999999999993*0.0*0.41999999999999993*0.05****False*T*2013
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2013 T4*2013-07-01*2013-12-31*6 - Alto*4.34*0.08**6520804.6*5395.0*0.0*68618981.0*False*11.1304*0.41*0.0*0.41*0.05****False*T*2013
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014*2014-01-01*2014-12-31*5 - Medio-alto*3.58*0.08**14270683.11*11147.5*0.0*281476178.0*False*14.5547*1.65*0.0*1.65*0.2****False*Y*2014
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014 T2*2014-01-01*2014-06-30*5 - Medio-alto*6.4300000000000015*0.12**10807101.8*8704.0*0.0*112739104.0*False*12.2514*0.41*0.0*0.41*0.05****False*T*2014
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2014 T4*2014-07-01*2014-12-31*5 - Medio-alto*3.9400000000000004*0.04000000000000001**24807315.48*19199.0*0.0*281476178.0*False*14.5547*0.42*0.0*0.42*0.05****False*T*2014
